,Cena,Cena za jednotku,Dispozice,Dostupné od,GPS coordinates,Images,Konstrukce budovy,Nízkoenergetický,PENB,Plocha pozemku,Podlaží,Poloha domu,Poloha rekreačního objektu,Property Description,Property Name,Provedení,Rekonstrukce,Rizika,Stav,Stáří,Typ pozemku,URL,Umístění,Užitná plocha,Vlastnictví,Vybaveno,Vytápění,id,listing_hash,Číslo inzerátu
Energie,3 900 000 Kč,1 209 Kč/ m2,,2. 6. 2025,"49.36303595,15.778324673187",N/A,,,,3 226,,,,"Hledáte-li zcela výjimečné a klidné místo pro bydlení a odpočinek bez jediného náznaku hluku projíždějících aut, pak zbystřete.Nabízený pozemek v osobním vlastnictvím o rozloze 3226 m² se nachází v samém srdci městyse Kamenice s překrásným výhledem na kostel sv. Jakuba Většího.V územní plánu obce je uvedeno, že parcela číslo 456, na které se pozemek nachází, je vhodná k výstavbě RD s napojením na všechny potřebné sítě.Nemovitost se vyznačuje výjimečným charakterem, který nabízí soužití s okolní přírodou a má potenciál realizovat různé projekty — od stavby tiny housu, skleníku, sauny až po RD.Aktuálně je součástí pozemku karavan k budoucí rekonstrukci, ve kterém lze již nyní přespat či připravit něco k snědku a krásná prostorná modřínová terasa, na které můžete poslouchat zpěv ptáků, zvuk zvonu kostela či zurčení potůčku, který lemuje celou spodní část pozemku. (Zvuková stopa viz přiložené video).V těsném sousedství parcely se nachází rybník, v obci je provozován obchod s potravinami, hospoda, je tu pivovar (Madcat), do nedaleko vzdálených Luk nad Jihlavou můžete zajet na skvělé jídlo (Kolnička) nebo se v létě vykoupat v krásně zrekonstruovaném koupališti s 50m nerezovým bazénem.Dostupnost pozemku je skvělá, do Jihlavy to budete mít 15 min jízdy autem, stejně tak na nájezd na D1 v Měříně.V případě zájmu lze k pozemku nabídnout již hotový projekt dřevostavby a příjezdové cesty. Prohlídka možná po domluvě kdykoliv, budeme se těšit :-)",Prodej pozemku,,,,,,Stavební,https://www.bezrealitky.cz/nemovitosti-byty-domy/909888-nabidka-prodej-pozemku-kamenice,Polosamota,,Osobní,,,909888,3c927da5bee717d56785ce28ef237c73842b4f3e6aa950ce92fca2139e9b880e,909888
Parkování,7 999 000 Kč,62 492 Kč/ m2,Ostatní,23. 11. 2024,"49.9627068,14.0578059",N/A,Cihla,,G - Mimořádně nehospodárná,361,,V bloku,,"Prodej domu ve velmi klidné čtvrti a ulici, s dispozicí dvou bytů 4+1 a 1+kk v cihlové budově, vám nabízí tuto skvělou příležitost k vlastnictví domova v dobrém stavu o celkové zastavěné ploše 128m² a s pozemkem o rozloze 361 m². Bytová jednotka 1+kk má samostatný bezbariérový vstup z dvorku a disponuje vlastními měřiči plynu, elektřiny i vody, což lze využít při případném pronájmu bytu, z jehož výnosu by bylo možno částečně financovat hypotéku. Využití ale garsonka najde i pro rodiny, které pečují o svoje rodiče.Dům je v původním stavu, ale je udržovaný, vymalovaný a čistý a je připravený k okamžitému nastěhování.K dispozici je parkování přímo před domem, nebo v průjezdu za vraty, vedle domu. K domu patří sklep o rozloze cca10 m².Udržovaná zahrádka, která je orientovaná do vnitrobloku okolních zahrad, je ze tří stran chráněna neprůhledným plotem, vzrostlými stromy a poskytuje vysoký stupeň klidu a soukromí a lze ji využít jak k relaxaci, tak i k pěstování vlastní zeleniny a ovoce.Dům nabízí bydlení na velmi klidném místě, přičemž veškerá občanská vybavenost, centrum města, lesopark, les, školy, autobusy i vlaky na Prahu, jsou dosažitelné pěšky řádově během minut.Kontaktovat mě můžete skrze zprávy / komunikační platformu pro více informací nebo pro domluvení prohlídky.",Prodej domu,,,Prověřit »,Dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/873717-nabidka-prodej-domu-krameriova-beroun,Klidná část,128,Osobní,Částečně,,873717,a1ced6e32bdf31af3b2b52e176589fa4c5aa998ba2208297777f62fdb7aed5ee,873717
Energie,12 500 000 Kč,52 083 Kč/ m2,5+1,2. 6. 2025,"50.2035768,13.9021505",N/A,Cihla,Ano,G - Mimořádně nehospodárná,5 870,,Samostatný,,"Nabízím k prodeji zemědělskou usedlost v obci Mšec.Rodinný dům o ploše 240 m2, dále hospodářské budovy a nádvoří 2040 m2,součástí prodeje je i zahrada 3850 m2.Nemovitost je vystavěna počátkem 20. století.Dům má 1.nadzemní podlaží se vstupní chodbou, ze které se vchází do kuchyně a dále samostatný vchod do pokojů, které jsou různě průchozí.Dispozice domu: 5+1, technická místnost 2x, 2x samostatné wc, koupelna se sprchovým koutem, spíž. Dům je vhodný k nastěhování, vše je plně funkční.Dům je orientován jihozápad.Dům je vytápěn tepelným čerpadlem, ústřední topení. Voda se používá městská a dále je na pozemku vybudována vlastní studna, ze které se voda používá, jako užitková. Je zde přípojka na 380 V.Na domě je nová střecha.Přípojka na kanalizaci je připravena na hranici pozemku. Nyní se používá vlastní jímka.Na pozemku je vybudovaný rybníček se stálým přírodním přítokem vody, celoročně.Mšec se nachází v žádané lokalitě. V okolí jsou rybníky a lesy, které můžete využít k procházkám a relaxaci.Přímo v obci je základní škola, mateřská školka, lékaři, pošta, obchody, restaurace, dětské a fotbalové hřiště, kulturní dům a muzeum.Celá nemovitost s pozemkem nabízí naprosté soukromí, současně i komfort občanské vybavenosti. Nemovitost je průběžně udržována, možnost nastěhování ihned. Je zde velký potenciál, realizovat své představy o bydlení.Je odtud dostupné autobusové spojení Praha, Rakovník, Kladno, Slaný, Nové Strašecí.Nutno podotknout, že městys Mšec se nachází 7 km od nájezdu na dálnici R 6 a R7 13",Prodej domu,,,Prověřit »,Dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/911263-nabidka-prodej-domu-prokopova-msec,,240,Osobní,Částečně,,911263,5bdbba5ea3554d0cffbd88beb9e2954d03ed2dc1735feaca36a6e86e0323fe7f,911263
MHD 2 minuty pěšky,10 750 000 Kč,27 494 Kč/ m2,5+1,1. 6. 2025,"49.6946455,15.1473791",N/A,Cihla,,G - Mimořádně nehospodárná,1 629,,Samostatný,,"Nabízím k prodeji prostorný cihlový dům dispozice 5+1+G s prostornou halou na pozemku 1629 m2 s pěknou vzrostlou a udržovanou zahradou, bazénem a grilem v malebné vesničce Všebořice, která je součástí přibližně 5 kilometry vzdáleného Lokte u Čechtic, v pěší vzdálenosti od kraje vodní nádrže. Blízkost vodní nádrže slibuje čistou okolní krajinu. Pobývat budete mezi Dolními Kralovicemi, Ledčí nad Sázavou a Zručí nad Sázavou s potřebným zázemím, díky exitu 66 dálnice D1 ve vzdálenosti necelých 5 km je místo jednoduše dopravně dostupné i z Prahy.Jedná se o patrový rodinný dům zkolaudovaný v roce 1991, poslední rekonstrukce dle CUZK v roce 2011. Zastavěná plocha dle CUZK činí 161 m2, podlahová plocha cca 205 m2, plocha sklepů 101 m2, výměra půd celkem 73 m2 a celková plocha zahrady 1449 m2.V 1. nadzemním podlaží dům nabízí předsíň 3 m2; prostornou halu 14,7 m2; obývací pokoj 22 m2 s výstupem na terasu 17,5 m2; dva další pokoje 18,4 m2 a 16,7 m2; kuchyň 12,1 m2 se spíží 2,2 m2; koupelnu s vanou, sprchovým koutem a toaletou 6,2 m2; a druhou samostatnou toaletu 1,1 m2. Nedílnou součásti domu je i garáž 12,4 m2 a bazén 3 x 6 m.V 2. nadzemním podlaží jsou umístěny další 2 pokoje 16 m2 a 19,6 m2; druhá koupelna s vanou a toaletou 9,4 m2; a dva půdní prostory 23,5 m2 a 35,2 m2.V suterénu se nachází prádelna 21,2 m2; dílna 19,2 m2; kotelna 6 m2; sklad uhlí 8 m2 a sklad dřeva 11,8 m2; místnost připravená na saunu 13,7 m2; místnost s vodárnou 8 m2; a dva sklepy na zeleninu 2x 6,7 m2.Dům je vytápěn elektrickým kotlem nebo kotlem na tuhá paliva, má vlastní vydatnou studnu, odpad je sveden do jímky. Pro ohřev teplé vody slouží bojler. Na hranici pozemku je pak přívod obecní vody.Jde o zcela bezpečnou oblast, bez záplav. PENB: GV Dolních Kralovicích žije přibližně tisíc obyvatel a město nabízí potřebné zázemí s možností nákupů, mateřskou a základní školou či restauracemi. Nedaleký nájezd na dálnici D1 se stará o vynikající dopravní spojení s Prahou vzdálenou necelých 70 km, kterou zásobuje pitnou vodou i místní vodní nádrž.Kontaktujte nás, rádi vám dům předvedeme a prozradíme podrobnější informace.",Prodej domu,,,Prověřit »,Dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/911001-nabidka-prodej-domu-loket,,391,Osobní,Částečně,,911001,b288ca73411b200e978a4b344bc8d9585fa7f0716f2e81d6cfd6d29c747a89a7,911001
Energie,13 950 000 Kč,93 000 Kč/ m2,4+kk,2. 6. 2025,"49.8554154,14.3830678",N/A,Cihla,,G - Mimořádně nehospodárná,810,,Samostatný,,"Přímý majitel nabízí k prodeji přízemní RD o celkové výměře 150m2 (dispozice 4+kk) , který se nachází na vlastním pozemku o rozloze 810 m², s krásnou zahradou  v klidné a velmi žádané lokalitě Štěchovice-Masečín, okres Praha – západ. Tato lokalita v sobě kloubí v dnešní době velmi ceněné benefity – příjemnou dojezdovou vzdálenost do Prahy a krásnou přírodu včetně nedalekých Slap.Rodinný dům, zkolaudovaný  v roce 2011, je ve velmi dobrém stavebně-technickém stavu s pravidelnou údržbou. Dům sestává z obývacího pokoje (52m2) včetně jídelního koutu a kuchyňské linky s vestavěnými spotřebiči, z kterého se vchází na krytou terasu (15m2) a na zahradu. Dále jsou zde umístěny 2 pokoje (13+14m2), ložnice (16m2), technická místnost (8m2), koupelna s rohovou vanou, sprchovým koutem a s WC, samostatné WC a vstupní chodba. V celém domě je podlahové vytápění, vytápění domu a ohřev vody je zajištěno kvalitním elektrokotlem, je možné využít i krbová kamna. Rozvody televize a rádia v každé místnosti, možnost napojení na optický kabel. Dům disponuje napojením na inženýrské sítě (elektřina 220/380 V, obecní vodovod, kanalizace).Na pozemku se nachází zastřešená venkovní dřevěná terasa (21m2) s venkovním bazénem (7 x 3,5 m) se slanou vodou. Dům obklopuje zahrada s okrasnými dřevinami a zelení. Příjezd k pozemku po asfaltové komunikaci, vjezd na pozemek vede přes elektricky ovládaná vrata. Parkování možné na pozemku i na ulici před domem.Bydlení v této lokalitě splňuje i ta nejnáročnější kritéria pro bydlení. Ve Štěchovicích se nachází veškerá občanská vybavenost (mateřská školka, základní škola, obchody, lékař, restaurace, pošta, obecní úřad). Dojezdová vzdálenost do Prahy autem 20 min. Autobusové spojení do Prahy na Smíchovské nádraží 30 min.Pro bližší informace i domluvu prohlídky mě kontaktujte.",Prodej domu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/911260-nabidka-prodej-domu-masecin,,150,Osobní,Nevybaveno,,911260,5879f8e86c51427693062cf7b0d15ed9325a710e429879a6f0913a0db2292f28,911260
Parkování,8 500 000 Kč,197 674 Kč/ m2,2+kk,18. 5. 2025,"50.1277301,14.4658255",N/A,Panel,,G - Mimořádně nehospodárná,,12. podlaží z 14,,,"Ráda bych Vám představila tento vzdušný, světlý byt dispozice 2+kk, nacházející v ul. Kurkova v Praze 8 - Kobylisích 3 min. od stanice metra Ládví. Byt má užitnou plochu 43m2. Nachází se v 11.patře panelového domu, který je zateplený a ve velmi dobrém stavu.Byt je po celkové rekonstrukci, má zděné jádro, plastová okna, plovoucí podlahy, nové rozvody elektřiny.V kuchyni je elektrická trouba, sporák a lednička.Měsíční náklady činí kolem 3700kč + energie - cca 750kč.Byt je v osobním vlastnictví.Ideální pro jednotlivce nebo páry, kteří hledají praktické a pohodlné místo k životu.V blízkosti bytu se nachází veškerá občanská vybavenost, jako jsou obchody, restaurace, fitness centrum, zastávky veřejné dopravy, což zajišťuje snadnou dostupnost do centra města a zároveň klidné bydlení mimo jeho ruch. Před panelovým domem je možno vyřídit si parkování na městském úřadě. Možnost garážového parkování je v ul. Kyselova.Prohlídky jsou možné po předchozí domluvě. Pro více informací nebo sjednání prohlídky mě prosím neváhejte kontaktovat mailem  nebo telefonicky.",Prodej bytu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/901939-nabidka-prodej-bytu-kurkova-hlavni-mesto-praha,Sídliště,43,Osobní,Částečně,,901939,85c6f4cf22d1c6a0d10bed4677706a8fbcdf40bb14cf5ffa7dfbe582bb8bdf86,901939
Výtah,7 900 000 Kč,158 000 Kč/ m2,1+1,2. 6. 2025,"50.0781068,14.4584097",N/A,Smíšená,,G - Mimořádně nehospodárná,,Přízemí,,,"Velmi příjemný byt v osobním vlastnictví pár minut pěšky od Flory (stanice metra, obchodní centrum). Jedná se o krásný funkcionalistický dům se spoustou zachovaných prvků a detailů.Byt je v klasickém uspořádání 1+1: velká předsíň, koupelna s vanou a samostatné wc, komora, kuchyň a pokoj. Byt je v přízemí s okny na západ do klidné ulice se stromy.V bytě jsou kvalitní parkety, repasovaná původní dřevěná okna, krásná dlažba originální technologie období první republiky imitující mramor. Interiérové dveře jsou obroušené od laku, nově natřené a opatřené původními klikami, kukátky a dalšími detaily. V koupelně jsou použity původní skleněné obklady. Parapety jsou také opatřeny skleněným černým obkladem, dále jsou zde stále původní zaoblené keramické obklady při podlaze (místo současných lišt). Zůstali i různé drobnosti, věšáky na ručníky, keramické tvarovky na mýdlo v rámci obkladu atd. Elektrický sporák Siemens je dnes již rekvizita České televize.Byt je celkově velmi příjemný a má velké kouzlo a svůj příběh. Součástí prodeje je i elegantní sada skleniček na šampaňské a likéry ze stejného období. K bytu taktéž náleží sbírka poesie podepsaná od V. Nezvala, který v domě bydlel a kterou od něho dostal původní obyvatel bytu.Elektrické rozvody byly vyměněny po r. 2000, vypínače a zásuvky jsou stylové berker.Lze využívat i velkou zahradu ve vnitrobloku domu, která je udržovaná a klidná. K dispozici také kočárkárna a kolárna v přízemí domu. K bytu dále náleží i sklep (cca 3m2).V domě proběhla celková rekonstrukce (repase oken, fasády, kotelna, stoupačky, střecha, interiéry domu, výtah). Byt se dá využívat jako bezbariérový.Parkování na ulici se zónami pro rezidenty. K bytu náleží slep (přibližně 3m2). Výborná dopravní dostupnost, kompletní občanská vybavenost.Tento byt je jeden z mála, který neprošel překotnou rekonstrukcí v 90. letech, což milovníci funkcionalismu jistě ocení. Dům je kulturní památkou,  architektem byl Rudolf Wels a Quido Lagus ( Rudolf Wels byl žákem jednoho z nejznámějších architektů tohoto období Adolfa Loose).",Prodej bytu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/911238-nabidka-prodej-bytu-baranova-praha,Klidná část,50,Osobní,Částečně,,911238,32749d7a97a632fc97141f41710671d18e87d7770dbabbcdd1f5e77a217a3daa,911238
Výtah,12 890 000 Kč,138 602 Kč/ m2,4+kk,2. 6. 2025,"50.1048643,14.3963738",N/A,Cihla,,G - Mimořádně nehospodárná,,1. podlaží z 5,,,"Nabízíme nový designový byt 4 + KK po kompletní nové rekonstrukci s rozsáhlým sklepem, výtahem a podílem na krásné velké zahradě v cihlové budově v oblíbené lokalitě Bubeneč Praha 6 v ulici N.A. Někrasova. Byt je čerstvě po kompletní rekonstrukci (dokončeno 4/2025), nový neobývaný s předpřípravou na kuchyňskou linku. Byt je velmi prostorný, světlý, vzdušný a klidný.Byt se nachází ve zvýšeném přízemí (z 5NP) v cihlové budově s výtahem. Byt je podle prohlášení vlastníka o velikosti 82 m2 a sklep približne o velikosti 11 m2. K bytu patří i podíl na krásné a prostorné soukromé zahrádce za domem. Bytový dům je po revitalizaci. Nízké poplatky do SVJ 2 186 Kč/měsíc včetně fondu oprav.Tato lokalita je velmi populární a oblíbená. Má veškerou občanskou vybavenost, širokou možnost kulturního vyžití, maximální klid a zároveň skvělou dopravní dostupnost. Pár kroků je zastávka tramvaje Lotyšská a metra Dejvická. Hned vedle bytu jsou parky s dětskými hřišti. Ulice je jednosměrná tudíž je velice klidná. Parkování na modrých zónách. Prohlídky jsou již možné.Dispozice bytu:- Předsíň- Obývací pokoj s kuchyňským koutem- 3x ložnice samostatná neprůchozí- Koupelna s vanou- WC samostatné- Sklep- Komora v bytěRekonstrukce bytu zahrnuje:- Kompletní výměnu elektroinstalačních rozvodů (v mědi) včetně revize- Kompletní výměnu rozvodů vody a odpadu- Kompletní úprava povrchů stěn (štuk, malování)- Nové dřevěné parkety- Podlahové obvodové lišty- Dveře interiérové nové, včetně obložkových zárubní- Nové čalounění na vchodových dveřích- Kompletní rekonstrukce koupelny a toalety- Dlažba šedá 60x60 rekt.- Obklad šedý 60x60 rekt.- Umyvadlo 60 cm umývadlo s bílou skřínkou- Zrcadlo 60 x 80 cm s LED podsvícením- Nové WC- Nova vana- Umyvadlová baterie s výpusti černá, značka: Hansgrohe- Sprchová baterie na stěnu + sprchový úchyt černá značka: Hansgrohe- SDK strop s bodovými světly v chodbě, koupelně a WC- Nove svítidla- Nový elektrický bojler- Podlahové topení- Předpříprava vývodů pro kuchyňskou linku – bez linkyProstorové řešení bytu je promyšlené a funkční, což zaručuje pohodlné bydlení pro rodinu i jednotlivce. Součástí bytu je také sklep o ploše 11 m², který nabízí dostatek místa na uskladnění věcí. Nemovitost prodávám jako nevybavenou, což umožňuje zařídit interiér přesně podle vašich potřeb a vkusu.Energetický štítek kategorie B svědčí o kvalitním a úsporném využití energie. Nabízená nemovitost se nachází v dynamické lokalitě s dobrou dostupností ke všem potřebným městským službám, což z ní činí atraktivní volbu pro pohodlné bydlení.V případě zájmu o bližší informace či domluvu prohlídky mne můžete kontaktovat prostřednictvím zpráv na této komunikační platformě.",Prodej bytu,,,Prověřit »,Po rekonstrukci,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/911257-nabidka-prodej-bytu-n-a-nekrasova-praha,Klidná část,93,Osobní,Nevybaveno,,911257,b006b9be96e03d5ab59c880dda0ab37b6e4ff45f8c01384d974af44c67c558a9,911257
Energie,7 199 000 Kč,153 170 Kč/ m2,2+kk,30. 4. 2025,"50.1160862,14.4713831",N/A,Cihla,,D - Méně úsporná,,3. podlaží z 5,,,"Nabízím k prodeji krásný byt o dispozici 2kk po rekonstrukci v osobním vlastnictví. Nemovitost se nachází ve 3.  patře hezkého cihlového domu. Byt prodává přímo majitel, zájemce neplatí provizi.Rozloha bytu je 47 m2, k bytu náleží sklep.Dispozici bytu tvoří neprůchozí ložnice, obývací pokoj spojený s kuchyní, prostorná koupelna se sprchovým koutem a záchodem.V bytě je instalováno podlahové topení.V okolí bytu naleznete veškerou občanskou vybavenost.",Prodej bytu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/901070-nabidka-prodej-bytu-frantiska-kadlece-praha,Klidná část,47,Osobní,Částečně,,901070,87987c76c83dd7673b3a1a40e0b06b8188687b9de2a98a53d872dc58ff555d70,901070
Garáž,8 500 000 Kč,40 670 Kč/ m2,6+kk,22. 6. 2024,"50.2230308,15.8424597",N/A,Cihla,,G - Mimořádně nehospodárná,1 511,,Samostatný,,"Prodej cihlového domu s dispozicí 6+kk před rekonstrukcí. Tato rozlehlá nemovitost nabízí možnost vlastních úprav a přizpůsobení podle svých představ. Dům se nachází na pozemku o celkové ploše 1511 m2, což poskytuje dostatek prostoru pro relaxaci a volnočasové aktivity.Rodinný dům se nalézá na rovinatém pozemku v lokalitě Pouchov pří místní komunikaci.Centrum města se nachází v docházkové vzdálenosti cca 15min, v místě autobusová doprava - zastávka 1 min chůze, trolejbus cca 5min.V lokalitě obchod s potravinami a sídlištní základní vybavenost, základní škola, školka cca 10 min. Ve vzdálenosti 10 min chůze nákupní centrum (OBI, potraviny, El a další nákupní příležitosti).Jedná se o řadový objekt se dvěma samostatnými byty a 2x oddělenými elektroměry.RD čtvercovitého tvaru s valbovou střechou, dvěma NP, půdním prostorem a sklepem.Součástí nemovitosti je rozlehlá ZAHRADA, dvůr s GARÁŽÍ a plechovými vraty , vlastní STUDNOU a objektem skladu s půdním prostorem, který je možné používat rovněž jako dílnu.",Prodej domu,Standardní,,Prověřit »,Před rekonstrukcí,Nad 50 let,,https://www.bezrealitky.cz/nemovitosti-byty-domy/847975-nabidka-prodej-domu-pouchovska-hradec-kralove,Klidná část,209,,Nevybaveno,Ústřední,847975,d0b3c9ba15c0b1c71cc0a5247adb087cf16118310b29a0e50f64915ae7d812c0,847975
