Aktualizace,Dispozice,Druh objektu,Elektřina,GPS coordinates,ID zakázky,Images,Komunikace,Plocha,Podlahová plocha,Poloha objektu,Price,Property Description,Property Name,Stav objektu,URL,Užitná plocha,Vlastnictví,Voda,id,listing_hash
02.06.2025,3+1,,,"49.946534470844,15.789682066952",229701,N/A,,,80,,4 598 000 Kč,,"Prodej prostorného bytu 3+1 80 m2s balkonem - Chrudim, ul. Čs. armády",dobrý,https://www.bidli.cz/chci-koupit/detail/prodej-prostorneho-bytu-31-80-m2-s-balkonem-chrudim-ul-cs-armady/229701,,osobní,,229701,d3f0cdcecd79ea4a24cc97ca065976942d1d59a44043460c8c6da5aa8887994b
02.06.2025,2+1,,,"48.984184198746,14.481594239043",229699,N/A,,,49,,4 621 000 Kč,,"Prodej bytu 2+1 , 49 m2, J. Plachty České Budějovice",dobrý,https://www.bidli.cz/chci-koupit/detail/prodej-bytu-21-49-m2-j-plachty-ceske-budejovice/229699,,osobní,,229699,b8f7cd33d3b978ee55d0c1343e1ff682615621d7236e78759814b3082792a4a2
01.06.2025,2+1,,,"49.692425273453,18.340609034707",229684,N/A,,,56,,3 750 000 Kč,,"Prodej bytu 2+1, 56,70 m2",dobrý,https://www.bidli.cz/chci-koupit/detail/prodej-bytu-21-5670-m2/229684,,osobní,,229684,85aa3da01bbb8e1f3708647ac9bfe25e64a879a53ae1c726e1448bc0343bfcaa
30.05.2025,3+1,,,"50.161582980496,16.277658350490",229681,N/A,,,76,,3 390 000 Kč,,Prodej krásného bytu 3+1 v Rychnově nad Kněžnou,velmi dobrý,https://www.bidli.cz/chci-koupit/detail/prodej-krasneho-bytu-31-v-rychnove-nad-kneznou/229681,,osobní,,229681,8b16580382528da72fb8ca89602e39c8cd8b1afc89f0fccf5a9feabf61c5c4fc
02.06.2025,,cihlová nebo skeletová,,"50.343970264652,14.496208769527",229677,N/A,,,,samostatný,5 600 000 Kč,,"Prodej domu 4+1, 115m2, zahrada.",před rekonstrukcí,https://www.bidli.cz/chci-koupit/detail/prodej-domu-41-115m2-zahrada/229677,115,,,229677,37addcf5d6d02e8d23c422626c272160d9bca490057662a498506d570ef5abe2
30.05.2025,1+kk,,,"50.030786390032,14.512009149187",229669,N/A,,,29,,4 860 000 Kč,,"Byt 1+kk, 29 m2, panel, OV, Praha Chodov",velmi dobrý,https://www.bidli.cz/chci-koupit/detail/byt-1kk-29-m2-panel-ov-praha-chodov/229669,,osobní,,229669,943449b156de1d73bb9035c2deb567ea9146ec3328f86f0d1a20f99d405c98b0
30.05.2025,,dřevěná,,"50.068979010553,15.749180482254",229665,N/A,,,,samostatný,11 568 800 Kč,,"Novostavba RD, 5+kk, 135 m2, pozemek 655 m2, Pardubice - Doubravice",novostavba,https://www.bidli.cz/chci-koupit/detail/novostavba-rd-5kk-135-m2-pozemek-655-m2-pardubice-doubravice/229665,135,,,229665,aa9f69be51c445c9a1f3b4cad7870fdd22a48abc5d14bbba1e7640d4feda7f31
30.05.2025,,cihlová nebo skeletová,,"49.827999438933,13.900181610132",229662,N/A,,,,řadový,12 190 000 Kč,,"Prodej řadového rodinného domu 5+kk, s pozemkem 499 m2- Hořovice, okres Beroun",novostavba,https://www.bidli.cz/chci-koupit/detail/prodej-radoveho-rodinneho-domu-5kk-s-pozemkem-499-m2-horovice-okres-beroun/229662,126,,,229662,973a0590a44649ffc5f30cdd4d502feff79f6f22df04723fdd585819efcfe012
31.05.2025,,cihlová nebo skeletová,,"49.013285954844,15.453260262190",229654,N/A,,,,samostatný,2 599 000 Kč,,Prodej rodinného domu 150m2- Staré Hobzí,před rekonstrukcí,https://www.bidli.cz/chci-koupit/detail/prodej-rodinneho-domu-150m2-stare-hobzi/229654,125,,,229654,64b06ff02335e3813a5c5d04110e43215f165a52cb6134e1e93157a3357851fa
28.05.2025,,cihlová nebo skeletová,,"50.138315447811,16.806448059843",229618,N/A,,,,samostatný,Cena na vyžádání,,"Prodej apartmánového domu, Dolní Morava",velmi dobrý,https://www.bidli.cz/chci-koupit/detail/prodej-apartmanoveho-domu-dolni-morava/229618,560,,,229618,cdb700d5015ac77571f74c1c476182d49867ef7ec5471a93353d2c17097a81e1
28.05.2025,,,,"50.138315447811,16.806448059843",229617,N/A,,,,,Cena na vyžádání,,"Prodej apartmánového domu, Dolní Morava",,https://www.bidli.cz/chci-koupit/detail/prodej-apartmanoveho-domu-dolni-morava/229617,,,,229617,648dce64c0a67de357769bd67a7d0e84f11613ec4840a04f8800f8056f5bb367
28.05.2025,,,230V,"49.682475019059,13.405212040778",229614,N/A,asfaltová,766m2,,,3 099 000 Kč,,"Pozemek k bydlení, 766 m2, Černice",,https://www.bidli.cz/chci-koupit/detail/pozemek-k-bydleni-766-m2-cernice/229614,,,Vlastní studna,229614,5fa5582e8282c28f112fa138b020233bddd6360d24a08e8e75b4072aa1458ede
