,Cena,Cena za jednotku,Dispozice,Dostupné od,GPS coordinates,Images,Konstrukce budovy,Nízkoenergetický,PENB,Plocha pozemku,Podlaží,Poloha domu,Property Description,Property Name,Provedení,Rekonstrukce,Rizika,Stav,Stáří,Typ pozemku,URL,Umístění,Užitná plocha,Vlastnictví,Vybaveno,Vytápění,id,listing_hash,Číslo inzerátu
Energie,19 500 000 Kč,53 571 Kč/ m2,7+1,12. 5. 2025,"49.9482743,14.41036",N/A,Cihla,,C - Úsporná,920,,Samostatný,"Přímý majitel nabízí k prodeji rodinný dům 7+1 v klidné části obce Ohrobec.Komfortní bydlení s velkou zahradouJednou z hlavních předností tohoto domu je jeho velkorysá rozloha, která poskytuje dostatek prostoru pro pohodlné rodinné bydlení i reprezentativní zázemí. Dispozice 7+1 s užitnou plochou 364 m² nabízí prostorné a funkčně řešené interiéry, zatímco zahrada o velikosti 920 m² přináší soukromí a možnost relaxace v zeleni.Tento velkorysý rodinný dům nabízí 7 prostorných pokojů, které poskytují dostatek místa pro komfortní bydlení celé rodiny. Srdcem domu je světlá a otevřená kuchyně s jídelním koutem, ideální pro společné chvíle a kulinářské zážitky.Lokalita v blízkosti přírody i městaOhrobec-Károv je malebná a vyhledávaná lokalita na jižním okraji Prahy, která spojuje klid venkova s výhodami městské dostupnosti. Dům se nachází pouhých 100 metrů od zastávky MHD s přímým spojením na metro linky C (Opatov), což zajišťuje rychlou a pohodlnou dopravu do centra města. Občanská vybavenost je v obci na vysoké úrovni – nachází se zde mateřská škola i základní škola s 1. a 2. stupněm, což činí lokalitu ideální pro rodinné bydlení.Díky jihovýchodní orientaci většiny místností je interiér zalitý přirozeným světlem po celý den, což vytváří příjemnou a harmonickou atmosféru. Kromě krásných obytných prostor se v domě nachází také praktická šatna, která je vybavena vestavěným nábytkem – není jen elegantním, ale i funkčním řešením pro uskladnění oblečení a doplňků.Navíc, díky promyšlenému dispozičnímu řešení dům nabízí dostatek soukromí i otevřeného prostoru, což jej činí ideálním jak pro rodinný život, tak pro pohodlné pracovní zázemí.Technické vybaveníDům je vybaven dvěma tepelnými čerpadly a využívá kombinovanou otopnou soustavu s teplovodním podlahovým vytápěním a radiátory, což zajišťuje optimální tepelný komfort. Objekt je napojen na vodovodní a kanalizační řád a zároveň disponuje vlastním zdrojem vody v podobě kopané studny. Navíc dům disponuje nádherným kachlovým krbem na dřevo, který se nachází v obývacím pokoji a svým provedením zasahuje i do prostoru jídelny, čímž vytváří jedinečnou atmosféru domova.Díky jihovýchodní orientaci většiny místností je interiér zalitý přirozeným světlem po celý den, což vytváří příjemnou a harmonickou atmosféru. Kromě krásných obytných prostor se v domě nachází také praktická šatna, která je vybavena vestavěným nábytkem – není jen elegantním, ale i funkčním řešením pro uskladnění oblečení a doplňků.Navíc, díky promyšlenému dispozičnímu řešení dům nabízí dostatek soukromí i otevřeného prostoru, což jej činí ideálním jak pro rodinný život, tak pro pohodlné pracovní zázemí.",Prodej domu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/904541-nabidka-prodej-domu-jarovska-ohrobec,,364,Osobní,Částečně,,904541,6355e98ab6a969cede671c8764fcf3e70ca0d06621a6f58768109267385fb92f,904541
Sklep 10 m²,6 190 000 Kč,99 839 Kč/ m2,2+kk,18. 3. 2025,"50.1142197,14.4757462",N/A,Cihla,,G - Mimořádně nehospodárná,,1. podlaží z 2,,"Moderní 2,5+kk s velkým sklepem, zahradou a potenciálem růstu hodnoty – Zenklova, Praha 8Nabízíme ke koupi stylově zrekonstruovaný družstevní byt 2,5+kk o rozloze 61 m² v přízemí menšího cihlového domu v oblíbené části Prahy 8 – Libeň. Tento byt zaujme nejen svým praktickým řešením a moderním provedením, ale i zajímavou investiční příležitostí do budoucna.🔑 Proč si byt zamilujete:✔ Praktické a pohodlné přízemí – Bez nutnosti schodů nebo výtahu, ideální pro rodiny s dětmi, seniory i aktivní život s mazlíčky. Přestože je dům u frekventovanější ulice, díky nově opravenému povrchu a ještě kvalitně postavému cihlovému domu je byt klidný a působí velmi příjemně.✔ Kompletně zrekonstruovaný interiér – Nové rozvody, elektroinstalace, podlahy, koupelna i příprava na kuchyňskou linku. Byt je připraven ihned k nastěhování – bez nutnosti dalších investic.✔ Chytré řešení a technologie – LED osvětlení ovladatelné přes telefon i dálkový ovladač, rozvody datové sítě, skrytá kabeláž, promyšlený úložný prostor, skrytý plynový kotel a podlahové vytápění v koupelně.✔ Dispozice s bonusem navíc, 2,5+kk – Obývací pokoj s kuchyňským koutem, ložnice a menší pokoj jako pracovna, dětský pokoj nebo šatna. Skvělá volba pro páry, mladé rodiny i jednotlivce.✔ Velký sklep 7–10 m² – Nadstandardní úložný prostor pro kola, sportovní vybavení nebo sezónní věci.✔ Zahrada se zázemím pro obyvatele + park pro společné vycházky – Společná zahrada s bazénem, grilem a pergolou nabízí oázu klidu a příležitost pro letní relax nebo posezení s přáteli. A hned za domem se navíc nachází park, ideální pro procházky, venčení psů nebo hraní s dětmi.✔ Bezproblémové parkování – Ve dvoře, přímo před domem nebo v postranní slepé a klidné ulici.✔ Stabilní prostředí s jasnou budoucností – Dům čeká plánovaná rekonstrukce společných prostor i přístavba. Po dokončení bude dům převeden do osobního vlastnictví a dojde k vyplacení celé anuity. Vše je v přípravě s důrazem na komfort stávajících obyvatel – bez nepříjemného stavebního chaosu.📈 Skvělá investice – dnes i do budoucnaAktuální cena bytu činí cca 93.000 Kč/m², přičemž po rekonstrukci domu se očekává nárůst hodnoty na více jak 130.000 Kč/m².Tento byt je tak nejen ideální pro vlastní pohodlné bydlení, ale i čistou investicí s vysokým potenciálem zhodnocení během pár let.🚋 Dostupnost do centra bez kompromisůPřímá tramvajová linka vás do centra Prahy dopraví za méně než 20 minut. V dosahu je i metro a veškerá občanská vybavenost – školy, školky, obchody, restaurace i zdravotní péče (nemocnice).💡 Hledáte byt, který spojuje moderní vybavení, dobrou lokalitu, zahradu i investiční potenciál? Přijďte se podívat – tento byt má opravdový smysl.📞 Zavolejte si o prohlídku ještě dnes!",Prodej bytu,Standardní,Kompletní,,Po rekonstrukci,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/881939-nabidka-prodej-bytu-zenklova-praha,Centrum,62,Družstevní,Částečně,Plynové,881939,70e991d8def367086da1e1f70661e60c339d70e4d1055205272b91ae617fb6ef,881939
Energie,7 490 000 Kč,129 138 Kč/ m2,2+1,14. 5. 2025,"49.2292588,16.58658",N/A,Cihla,,G - Mimořádně nehospodárná,,2. podlaží z 4,,"Nabízíme k prodeji byt 2+1 v osobním vlastnictví, který se nachází ve druhém patře. Byt je po kompletní rekonstrukci vč.elektrických rozvodů,podlah v kuchyni,předsíni a koupelně,rekonstrukce koupelny vč.vodovodních rozvodů a odpadů, nových omítek,obložkových zárubní a dveří,vstupních bezpečnostních dveří.Užitná plocha je 58 m².Dále k bytu náleží také sklep o ploše cca 4 m².Také celý dům je po rekonstrukci - okna, zateplení fasády i půdy, nová střecha, nový tepelný výměník, venkovní i vnitřní kanalizace a další.Energetický štítek není k dispozici, proto jsem zvolila možnost nehospodárné ( G)budovy, vzhledem k zateplení fasády i půdy, ale toto neodpovídá realitě a stavba bude patřit do vyšší kategorie.Součástí koupě je bezpodílové spoluvlastnictví na zahradě ve vnitrobloku o výměře přes 2000m2 s parkovou úpravou.Byt se nachází v žádané lokalitě na ulici Srbská v městské části Kralovo Pole,Brno.V blízkém okolí je supermarket Billa (cca 30m),zastávka trolejbusu č.132 (cca 80m), ZŠ/MŠ,restaurace,lékař.Prohlídky jsou možné po předchozí domluvě.RK nevolat.",Prodej bytu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/905316-nabidka-prodej-bytu-srbska-brno,Klidná část,58,Osobní,Částečně,,905316,06886dae896491b2f7fc2eb705b7a957f4161761b0b671c190d891ddae944738,905316
Energie,13 100 000 Kč,7 511 Kč/ m2,,1. 5. 2025,"50.152814,13.894211",N/A,,,,1 744,,,"Detaily nemovitosti:Velikost: 1744 m² (Rozměry - přibližně: 19m x 92m)Číslo pozemku: 224/6Umístění: ul. Rudská, Nové StrašecíTento mírně svažitý pozemek nabízí krásný výhled na okolní krajinu a nachází se v klidné oblasti, nejedná se o výstavbu satelitního typu. Je ideální pro stavbu soukromého domu s garáží v přízemí a prvním patrem s přístupem do zahrady směrem k lesu. V okolí se nachází lesy, pole a dva nedaleké rybníky.Stavební možnosti:Stavět lze na dvou třetinách pozemku.Horní třetina (u lesa) je určena pouze pro zeleň.Inženýrské sítě:Na pozemek je přivedena voda a elektřina.Kanalizace je na hranici pozemku s uzavřenou smlouvou s městem o připojení.Unikátní prvky:Horní částí pozemku vede mělká strouha (asi 15 cm hluboká), napájená pramenem z nedaleké zahradní oblasti. Tato voda může sloužit jako zdroj pro zavlažování nebo užitkovou vodu. Případně lze strouhu vést pod zemí (křižuje parcelu).Přístup:ul. Rudská je částečně asfaltová, zbytek je zpevněná cesta. V budoucnu je plánováno dokončení asfaltového povrchu.Další přístup po ul. Nádražní směrem k Rakovníku.Snadný přístup k dálnici D6, bez hluku z dálnice na pozemku.Občanská vybavenost:Nové Strašecí nabízí široké spektrum občanské vybavenosti, včetně mateřské školy, základní školy a gymnázia, pro 5700 obyvatel.Kontakt nahttps://reality.idnes.cz/detail/prodej/pozemek/nove-straseci-rudska/6811d9b6f73f872a7205d253/",Prodej pozemku,,,,,,Stavební,https://www.bezrealitky.cz/nemovitosti-byty-domy/901391-nabidka-prodej-pozemku-rudska-nove-straseci,,,Osobní,,,901391,a66354414cbfd6ad2cbc83bc6f99d5e3fd439615d9e28d8b11b55e58e500c011,901391
Energie,3 000 000 Kč,464 Kč/ m2,,26. 2. 2025,"49.4672155,13.3236561",N/A,,,,6 467,,,"Nabízíme na prodej rybník - přírodní vodní nádrž 5315 m2, umělá vodní nádrž 619 m2, přilehlé pozemky (orná půda) 533 m2, celkem 6467 m2, v KÚ Kamýk u Švihova.  Rybník má zajištěn přítok a odtok - potok.  Nutno vyčistit.",Prodej pozemku,,,,,,Rybník,https://www.bezrealitky.cz/nemovitosti-byty-domy/868961-nabidka-prodej-pozemku-svihov,Klidná část,,,,,868961,eef3383559c97f8c23074386baed4304b47bbf51330a90f47a0ca26191a4a29b,868961
Parkování,10 990 000 Kč,74 762 Kč/ m2,5+kk,28. 4. 2025,"49.80924,15.2964275",N/A,Cihla,Ano,B - Velmi úsporná,1 973,,Samostatný,"Nabízím k prodeji moderní novostavbu – prostorný dům postavený z kvalitního cihel s dispozicí 5+kk. Jako přímý vlastník jsem do tohoto domu vložil péči o každý detail a nyní Vám představuji nemovitost, která splní očekávání rodiny hledající kvalitní a komfortní bydlení.Dům o zastavěné ploše 147 m² se nachází na rozlehlém pozemku o výměře 1973 m², což poskytuje nejen příležitost pro zahradní aktivity, ale i dostatek prostoru pro soukromí a rekreaci. Díky částečné vybavenosti jsou interiéry připraveny k okamžitému nastěhování a praktické řešení dispozice umožňuje pohodlné využití prostoru. Moderní řešení domu lze ocenit také energetickým štítkem třídy B, který zaručuje nízkou energetickou náročnost.V domě je zajištěno komfortní parkování, což ocení zejména řidiči. Navíc může být k dispozici slunná terasa o výměře 25 m², ideální pro letní posezení a relaxaci na čerstvém vzduchu.Obec Petrovice I se nachází v okrese Kutná Hora ve Středočeském kraji, 18 km jižně od Kutné Hory a 13 km jihozápadně od Čáslavi.  Mateřská a základní škola se nachází v nedalekých Červených Janovicích.Pro více informací a sjednání osobní prohlídky mě prosím kontaktujte skrz zprávy na komunikační platformě.",Prodej domu,,,Prověřit »,Novostavba,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/900513-nabidka-prodej-domu-petrovice-i,,147,Osobní,Částečně,,900513,354d421b56f837db1682225c2e2bc7929d8335998c5e69e1e19b50138c2d6582,900513
Parkování,2 000 000 Kč,46 512 Kč/ m2,1+1,1. 6. 2025,"50.0706869,12.3742863",N/A,Cihla,,F - Velmi nehospodárná,,5. podlaží z 6,,"Prodáváme útulný nízkonákladový byt v dobrém stavu o dispozici 1+1, situovaný v cihlovém bytovém domě, k dispozici je moderní výtah umožňující bezbariérový přístup. Byt se nachází v 5. podlaží a nabízí užitnou plochu 41 m².Součástí bytu je balkón (2 m²) přístupný z pokoje, ideální pro ranní kávu či relaxaci, dále prostorná předsíň (6,6 m²) s výklenkem pro vestavěnou skříň a komorou (1,6 m²). K bytu náleží sklep o ploše 2 m², který poskytne dostatek úložného prostoru. Pro obyvatele domu je k dispozici také uzamykatelná půda.V bytě jsou plastová okna, původní jádro a koupelna oddělená od WC, součástí kuchyně je kuchyňská linka, interiér je tedy možné zařídit podle vlastních představ.Kuchyně situovaná na sever nabízí výhled do dvora a na historické centrum města, pokoj s balkónem jsou situovány na jih.V blízkosti domu je dostatek parkovacích míst, na dohled školka, škola, zimní stadion, do vzdálenosti 1 km sportovní hala, autobusová zastávka, autobusové i vlakové nádraží.Při rychlém jednání možnost snížení ceny.Pro bližší informace a sjednání prohlídky mě neváhejte kontaktovat prostřednictvím zpráv.",Prodej bytu,,,Prověřit »,Dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/901399-nabidka-prodej-bytu-valdstejnova-cheb,Klidná část,43,Osobní,Částečně,Ústřední,901399,1e74975e21f96d3cf06e31ae7c760cbc944944d99eb4cdcd7bf60b9156987afa,901399
Energie,6 820 000 Kč,7 654 Kč/ m2,,6. 3. 2025,"50.1501472,13.896029",N/A,,,,891,,,"Nabízíme k prodeji exkluzivní pozemek (891 m2, parc. č. 217/63) v Novém Strašecí v ulici Nad Paloučkem v rámci nově budované rezidenční čtvrti. Jedná se o klidnou část města poblíž centra s vynikající dostupností. V blízkosti je MŠ, ZŠ, gymnázium, široké spektrum obchodů a služeb, zdravotní středisko, sportoviště, kulturní dům. Přímé dopravní spojení autobusem a vlakem s Prahou, Rakovníkem, Kladnem (cesta autobusem na Praha-Zličín 30min, autem na okraj Prahy 20min po dálnici D6). V okolí se nachází rozlehlé lesy a CHKO Křivoklátsko, cesta do Krušných hor 1h 15min.V této oblasti je a pravděpodobně i bude k dispozici minimum pozemků ke koupi.Pozemek je kompletně zasíťován a je připraven na realizaci Vašeho vysněného projektu.Pro více informací nás prosím kontaktujte nebo vyplňte níže uvedený formulář.",Prodej pozemku,,,,,,Stavební,https://www.bezrealitky.cz/nemovitosti-byty-domy/883696-nabidka-prodej-pozemku-nad-palouckem-nove-straseci,Klidná část,,Osobní,,,883696,49bb3a44f0bd5210b91a158c2345e900883f747168b6c8f7bfaf3520ac0099a6,883696
Výtah,4 800 000 Kč,129 730 Kč/ m2,1+kk,26. 5. 2025,"50.0304331,14.5957592",N/A,Cihla,,C - Úsporná,,1. podlaží z 7,,"Nabízím ke koupi moderní a prostorný 1+kk, řešený jako 2+kk byt v novostavbě, který se nachází v cihlové budově s celkovým počtem sedmi podlaží. Byt o celkové ploše 37 m² se nachází v přízemí budovy s výtahem a je zpřístupněn i osobám se sníženou pohyblivostí díky bezbariérovému přístupu.Nemovitost je částečně vybavená, což umožňuje okamžité nastěhování, přičemž si nový majitel může zařídit interiér dle vlastních představ a potřeb. Výborný energetický štítek třídy C spolu s moderními technologiemi zajišťuje komfortní a úsporné bydlení. Součástí bytového prostoru je také sklep o rozloze 2 m², který nabízí praktické úložné prostory.K bytu náleží možnost parkování (cena 300.000 Kč), což výrazně usnadňuje každodenní dopravní situaci. Budova je situována v atraktivní lokalitě, která kombinuje klidné okolí s veškerou občanskou vybaveností v dosahu.Pokud Vás tato nabídka zaujala, neváhejte mě kontaktovat skrz zprávy na komunikační platformě a dohodnout si prohlídku této nemovitosti.",Prodej bytu,,,Prověřit »,Novostavba,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/909161-nabidka-prodej-bytu-jindricha-bubenicka-praha,Klidná část,37,Osobní,Částečně,,909161,92cb41b15aece142386ee1c5c18288de492c52fb27a241bee5857cf1073a7710,909161
Sklep 2 m²,4 994 000 Kč,161 097 Kč/ m2,1+kk,1. 7. 2025,"50.14028235,14.517633751099",N/A,Cihla,,C - Úsporná,,2. podlaží z 4,,"Jako vlastník nabízím k prodeji útulný 1+kk byt s balkonem a sklepem . Byt byl navržen s ohledem na maximální využití prostoru. Byt je ve velmi dobrém stavu a nachází se ve druhém podlaží ze čtyř celkových. S vlastní plochou 30,88 m² je tento byt ideální volbou pro jednotlivce či pár hledající praktické a útulné bydlení .Byt je částečně vybaven, což umožňuje novému majiteli přizpůsobit interiér dle vlastních představ. V předsíni je vestavěná skříň, která poskytuje dostatek úložního prostoru. Součástí bytu je prostorný balkón o výměře 6,32 m², kde lze relaxovat po náročném dni, a také sklep o ploše 1,61 m² poskytující dostatečný úložný prostor. Energetická náročnost budovy je označena štítkem C, což potvrzuje její efektivitu a dodržování moderních standardů.V bezprostřední blízkosti nemovitosti je možné využít parkovací místo.Velkou výhodou bydlení v této lokalitě je skvělá dopravní dostupnost. Za pár minut chůze se z bytu dostanete na autobusovou zastávku, která vás doveze na stanici metra C – Letňany.V blízkém okolí najdete kompletní nákupní možnosti v OC Letňany. V lokalitě nechybí ani široká nabídka služeb, restaurací a kaváren nebo lékařská péče. V Letňanech najdete také několik dětských hřišť, krytých i venkovních sportovišť a zábavních atrakcí pro děti i dospělé nebo oblíbený plavecký bazén a wellness Lagoon.V případě zájmu mě kontaktujte prostřednictvím zpráv , pokud máte zájem o bližší informace či osobní prohlídku této zajímavé nabídky. Realitní kanceláře prosím nekontaktovat - nebudu reagovat , děkuju !",Prodej bytu,Standardní,,Prověřit »,Velmi dobrý,10 - 30 let,,https://www.bezrealitky.cz/nemovitosti-byty-domy/901413-nabidka-prodej-bytu-beranovych-praha,Klidná část,31,Osobní,Částečně,Ústřední,901413,f228b52a81cbc57090e5ef7f933ff8fedc4d34aa734d3f4ffa16c0cb386b4149,901413
