,Celkem podlaží,Cena,Cena za jednotku,Dispozice,Dostupné od,GPS coordinates,Images,Konstrukce budovy,Nízkoenergetický,PENB,Plocha,Plocha nebytového prostoru,Plocha pozemku,Podlaží,Poloha domu,Poloha rekreačního objektu,Property Description,Property Name,Provedení,Rizika,Stav,Stáří,Typ pozemku,URL,Umístění,Užitná plocha,Vlastnictví,Vybaveno,Vytápění,id,listing_hash,Číslo inzerátu
Energie,,2 300 000 Kč,1 589 Kč/ m2,,23. 4. 2025,"49.3014409,14.7294486",N/A,,,,,,1 447,,,,"Dobrý den, nabízím k prodeji rovinatý a slunný pozemek o rozloze 1447 m², který je dle územního plánu určený k výstavbě rodinného domu. Nachází se v klidné části obce Janov u Roudné na jihu Čech. Na hranici pozemku je přivedena elektřina, veřejný vodovod a kanalizace. Okolní lesy a louky jsou vhodné na sport nebo klidné procházky pro celou rodinu. Malá obec Janov je vzdálena 15 km od Tábora a 7 km od města Soběslav.",Prodej pozemku,,,,,Stavební,https://www.bezrealitky.cz/nemovitosti-byty-domy/899183-nabidka-prodej-pozemku-roudna,,,Osobní,,,899183,2fbcf7782a8796ea4cefdde92448e9498d06f287fe8df3043530b72ee9346213,899183
Parkování,,10 000 000 Kč,65 359 Kč/ m2,5+kk,26. 5. 2025,"50.033237,13.837113",N/A,Cihla,Ano,B - Velmi úsporná,,,1 300,,Samostatný,,"Prodej novostavby cihlového domu s dispozicí 5+kk v osobním vlastnictví. Tato moderní nemovitost s energetickým štítkem B nabízí plochu 123 m2 se zahradou o rozloze 1000 m2. Dům je částečně vybaven a k dispozici je parkování. K relaxaci slouží terasa o ploše 30 m2. V přízemí se nachází obývací pokoj s kuchyňským koutem a vstupem na terasu/zahradu, koupelna, pokoj, kumbál pod schody a technická místnost. V patře jsou 3 pokoje, koupelna, sklad a vstup na půdu. Ideální pro rodinu s dětmi. Vytápění elektrokotlem (podlahové vytápění v přízemí, radiátory v patře) + krbová kamna v obývacím pokoji. Odpad je řešen jímkou (3 členná rodina vyváží 1x měsíčně). V přípravě je výstavba obecní kanalizace. Při stavbě použity prémiové cihly vyplněné minerální vatou Porotherm bez nutnosti dodatečného zateplování polystyrenem. Okna dřevěná izolační trojskla. V okolí nádherná příroda, v docházkové vzdálenosti obchod a zastávka bus.",Prodej domu,,Prověřit »,Novostavba,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/909568-nabidka-prodej-domu-velka-bukova,,153,Osobní,Částečně,,909568,66b1e591b647b3c4511f77d62605eddce2d5e59e0bb245442dae143ec34473c1,909568
Předzahrádka 26 m²,,7 900 000 Kč,146 296 Kč/ m2,2+kk,27. 5. 2025,"50.3631519,12.8413475",N/A,Skeletová,,B - Velmi úsporná,,,,1. podlaží z 4,,,"Stylový apartmán 2+kk s terasou, zahradou a parkovacím stáním – Projekt Krušec, Krušné horyNabízíme k prodeji exkluzivní, plně vybavený apartmán 2+kk (byt B1.06) v 1. nadzemním podlaží prestižního horského projektu Krušec. Tento moderní apartmán spojuje elegantní design, chytré technologie a výjimečnou lokalitu v srdci Krušných hor.Parametry:Užitná plocha: 54,21 m²Terasa: 14,63 m²Zahrádka: 25,88 m² – soukromý prostor s výhledem do zeleněSklepní kóje: 1,95 m²Venkovní parkovací stání – zahrnuto v ceněVybavení a technologie:Designová kuchyňská linka na míru včetně vestavných spotřebičů (myčka, indukční varná deska, trouba, mikrovlnná trouba, lednice)Stylová rozkládací sedačka s pohodlným lůžkem (170 cm šířka, 14 cm výška matrace)WiFi připojeníChytré podlahové topení – ovladatelné vzdáleně přes mobilní aplikaciElektronický vstupní zámek – přístup pomocí kódu, čipu nebo telefonuVelkoformátová francouzská okna s přímým vstupem na terasuLokalita:Tichá a bezpečná lokalita obklopená přírodouV blízkosti špičkových ski areálů: Klínovec, Boží Dar, PlešivecHustá síť běžeckých tras, turistických a cyklistických stezekWellness centra, restaurace, kavárny, regionální atrakceVýborná dostupnost z Prahy i NěmeckaInvestiční potenciál: Nemovitost je ideální nejen pro vlastní rekreaci, ale také jako zisková investice pro krátkodobý pronájem. Díky vysokému standardu a žádané lokalitě nabízí nadprůměrné výnosy.K dispozici ihned.Pro více informací nebo domluvení prohlídky nás neváhejte kontaktovat.",Prodej bytu,,Prověřit »,Novostavba,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/909565-nabidka-prodej-bytu-plesivecka-abertamy,Polosamota,54,Osobní,Vybaveno,,909565,f48975823b21b1ed54ae1e3b4aa7e569bbe362d30fbf17243d4af02f7eb3c059,909565
Energie,3,18 490 000 Kč,142 231 Kč/ m2,Ostatní,31. 7. 2025,"50.0766961,14.4960793",N/A,Cihla,,G - Mimořádně nehospodárná,,,94,,Řadový,,"Nabízíme k prodeji krajní řadový rodinný dům s předzahrádkou a udržovanou zahradou v žádané části pražských Strašnic, na Solidaritě. Tato čtvrť má své jedinečné kouzlo a je vyhledávána pro svůj klid, množství zeleně, výbornou dostupnost do centra města a zároveň skvělou občanskou vybavenost – v okolí naleznete školy, školky, obchody, kavárny, kulturní zařízení i lékařské ordinace. Dopravní spojení do centra Prahy je velmi rychlé – tramvajová zastávka Solidarita je vzdálená zhruba dvě minuty chůze, stanice metra Strašnická osm minut (dojezd do centra trvá cca 15 min).Dům je v osobním vlastnictví a má přibližně 130 m² celkové užitné plochy rozdělené do tří podlaží. Plocha předzahrádky je 33m2, zastavěná plocha domu 58 m2 a určená plocha k soukromému užívání zahrady za domem je orientačně 60 m2. Díky tomu, že se jedná o krajní dům, který má navíc v přízemí a v 1. patře další dvě okna, je interiér hezky prosvětlený. Dům je možné obejít přes zahradu přímo na terasu. Vstup do domu i na zahradu je bezbariérový. V přízemí je vstupní chodba s technickým zázemím a botníkem, koupelna s toaletou a sprchovým koutem a prostorný obývací pokoj s krbovými kamny a kuchyňským koutem, odkud se vychází na zahradu s terasou. V prvním patře se nachází dvě ložnice, pracovna, komora a další koupelna s vanou a dvojitým umyvadlem. V podkroví se pak nachází samostatná garsonka s kuchyňským koutem a koupelna s WC.Dům prošel rozsáhlou rekonstrukcí v roce 2010. Byla vyměněna okna za plastová, provedeno zateplení fasády, instalován kamerový systém CCTV, kompletně vyměněny nosné prvky, schodiště i instalovány solární kolektory na ohřev vody. Vytápění domu je řešeno vlastním plynovým kotlem, ohřev vody zajišťuje elektrický bojler a solární kolektory umístěné na střeše. V létě ohřívá vodu jen slunce a bojler je vypnut. Jde o energeticky úsporný dům s velmi nízkými náklady na bydlení. Interiér tvoří dřevěné podlahy a stropy (mimo koupelen), příčky jsou sádrokartonové a prostor je maximálně využit vestavěnými skříněmi a úložnými prostory, včetně úložného prostoru v podlaze přízemí. Zahrada je pečlivě udržovaná a kombinuje okrasnou i užitkovou zeleň, včetně bylinek. Na terase, navazující na obývací pokoj, je možné grilovat a relaxovat. Na zahradě se nachází vzrostlé keře, stromy i zahradní domek na nářadí či další potřeby.Neváhejte nás kontaktovat a domluvte si osobní prohlídku tohoto výjimečného domu v jedné z nejžádanějších lokalit Praze.",Prodej domu,Standardní,Prověřit »,Dobrý,10 - 30 let,,https://www.bezrealitky.cz/nemovitosti-byty-domy/910943-nabidka-prodej-domu-dvouletky-praha,Centrum,130,Osobní,Vybaveno,Plynové,910943,c86dc70abe379e51cd03115c16e2af2d6fb40c3fbd202ae028366483d82d123f,910943
Parkování,3,19 949 800 Kč,49 750 Kč/ m2,Ostatní,1. 9. 2025,"50.4190588,14.9097",N/A,Cihla,,C - Úsporná,,,416,,V bloku,,"Prodej činžovního domu  domu s dispozicí ostatní v samotném centru města. Dům je po celkové rekonstrukci včetně všech rozvodů vody, elektřiny , topení  + zánovní vodovodní přípojky k domu. Každý byt má standardně vlastní měřáky energií + uzávěry vody a topení . V podkrovním bytu nechybí klimatizace.  Dům je plně vybaven Celková plocha domu činí 401 m2 s přilehlým pozemkem o rozloze 416 m2 přičemž na ""nádvoří""  lze zbudovat např. parkoviště . Jedná se o 3 samostatné bytové jednotky s přístupem ze společného schodiště . Byty lze okamžitě využívat , nebo dále pronajímat spolehlivým nájemníkům ! Všechny byty jsou nově zařízené , nechybí stylové kuchyně včetně myčky , trouby ,sklokeramické desky atd.  Dispozice bytů viz foto  umožňuje i komerční využití -- např. Právnická, zubařská praxe atd.  Technicky je možné zbudovat další  vchod přímo z ulice! Ideální pro bydlení ,pronájem, podnikání atd.Kromě velké plochy pro garáže , či parkoviště  na pozemku, které jsou přístupné automatickými vraty lze využít parkování v okolí domu pro rezidenty , nebo v parkovacím domu přímo naproti vchodu, např. pro návštěvníky .Všechny okna včetně střešních jsou kvalitní 3 - skla v pasiv provedení + žaluzie a roletyK dispozici je parkování ve 2 garáži, 2x balkón o celkové ploše 5.5 m2 a terasa o rozloze 33.5 m2. K domu patří také sklep o velikosti 50 m2. Zaveden optický kabel - internet rozveden do každého bytu samostatně. Zánovní horizontální izolace domu K domu poskytnu původní dokumentaci ! + kompletní fotodokumentaci rozvodů apod. Zánovní střecha - Dánské tašky IBF. K vytápění je využíván 2 roky nový, velmi úsporný ,kvalitní a účinný kondenzační kotel Immergas Zeus Supperior 25  s měřáky  pro každý byt ! Nutné vidět .Podrobné informace poskytne majitel",Prodej domu,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/885460-nabidka-prodej-domu-laurinova-mlada-boleslav,Klidná část,401,Osobní,Vybaveno,Plynové,885460,6e4d94f044b0bc2957be64d1cec617115dc67ef0a52492db82953b1fd9be14c5,885460
Energie,,9 790 000 Kč,163 167 Kč/ m2,2+1,2. 4. 2025,"50.0719476,14.4319428",N/A,Cihla,,G - Mimořádně nehospodárná,,,,3. podlaží z 6,,,"Nabízíme k prodeji  byt 2+1 –  60 m2 v prestižní lokalitě Prahy , ulice Koubkova, Praha 2 – Nové Město. Byt se nachází ve 3. patře činžovního domu s výtahem a nabízí jedinečné kouzlo historické architektury v kombinaci s komfortem moderního bydlení. Byt je částečně zařízený, je zde plně vybavená kuchyňská linka, vestavěné skříně. Při rekonstrukci před cca 15 lety zde byly použity kvalitní materiály. V pokojích jsou parkety, v kuchyni a chodbě dlažba, dveře jsou dýhové, v koupelně je vana s masážním sprchovým panelem, samostatné WC. Okna jsou nová – dřevěná špaletová. V bytě je trezor a zabezpečovací systém. Byt je vhodný jako investice k dlouhodobému nebo krátkodobému pronájmu nebo k vlastnímu bydlení.Byt se nachází v atraktivní a vyhledávané lokalitě, v blízkosti veškeré občanské vybavenosti, obchodů, restaurací i parků. Skvělá dopravní dostupnost – metro, tramvaje i autobusy v docházkové vzdálenosti.",Prodej bytu,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/886883-nabidka-prodej-bytu-koubkova-praha,Centrum,60,Osobní,Částečně,,886883,27b9d9cad7b9d98b561f44bc71499bbbfd04e54b9d2cb2fe03640ed3b5730f50,886883
Energie,,24 999 999 Kč,13 951 Kč/ m2,,1. 3. 2025,"49.94966,14.32694",N/A,,,,1 792,,1 792,,,,"Černošice - Mokropsy, stavební pozemek 1792m², Pardubická ul.Nabízíme k prodeji stavební pozemek ( možná i výměna za jiné zajímavé nemovitosti.)Pozemek NENÍ v záplavové oblasti, je v mírném svahu s krásným výhledem na údolí Berounky.AKTUALIZACE:Na pozemek je zaveden elektrický proud.Ostatní inženýrské sítě jako dálkový vodovod, kanalizace, plyn jsou vedeny na hranici pozemku a je možnost připojení.Celková zastavitelnost 30%Zastavitelnost 20% - hlavní budova 358,4 m2další stavby 10% - např. altán, zahr.domek a pod 179m2(případně další zpevněné plochy 10% 179m2)zeleň 60%citace z územního plánu Černošic• celková zastavěnost pozemku může být maximálně 30 %• zastavěnost hlavní stavbou může být maximálně 20 %• podíl zeleně musí být minimálně 60 % z celkové plochy pozemku• hlavní stavby mohou mít nejvýše přízemí a patro nebo přízemí a podkroví (dvě nadzemní podlaží nebojedno nadzemní podlaží a podkroví), podzemní podlaží není touto podmínkou vyloučeno• maximální výška hlavní stavby je 9,5 m• maximální výška vedlejších staveb je 5 mV obci je veškerá občanská vybavenost a je na vlakové trati Praha-Beroun.Škola 300mVlakem Smíchovské nádraží - Mokropsy 12-15 minut.Prosíme, aby nás kontaktovali pouze vážní zájemci, kteří budou akceptovat cenu.V případě zájmu pouze volejte, prosím. Tato nemovitost je určena výhradně přímým zájemcům o koupi.Prosíme, aby nás nekontaktovali RK, realitní makléři a spekulanti.@černošice @mokropsy černošice mokropsy@PRODEJ @vymena@pozemek@stavebni@stavebnipozemekCena: 13.951,-/m2",Prodej pozemku,,,,,Stavební,https://www.bezrealitky.cz/nemovitosti-byty-domy/786899-nabidka-prodej-pozemku-pardubicka-cernosice,Klidná část,,Osobní,,,786899,b0f711259ce95e7c98802a2d330cf5b2655f9160903afcd40431d9cd73095dbd,786899
Parkování,,3 240 000 Kč,62 308 Kč/ m2,2+kk,29. 3. 2025,"50.5628296,15.8999302",N/A,Cihla,,G - Mimořádně nehospodárná,,,,1. podlaží z 4,,,"Nabízím k prodeji byt 2 + kk o výměře 52 m2, a dalších 20 m2 představuje sklep a půda.Nemovitost se nachází v přízemí cihlového domu, v žádané lokalitě města Trutnova, ulici Žižkova.Byt prošel rekonstrukcí a jeho většina plochy je se zatepleným podhledem, jež zaručuje nižší provozní náklady na vytápění a eliminaci hluku.Dalšími výhodami bytu je možnost parkování přímo před domem, výborně fungující správa domu a nízké provozní náklady.Dispozice bytu:•	vstupní chodba,•	veliký obývací pokoj,•	ložnice s vestavěnou mezonetovou postelí,•	prostorná kuchyně,•	koupelna s WC.Příslušenství bytu:•	sklep o užitné ploše 7m2,•	půda o užitné ploše 13m2.Ohřev vody je zajištěn bojlerem, vytápění plynovým a infrapanelovým topením. Podlaha je plovoucí a dlažba.Byt je v mém osobním vlastnictví.Cena je 3 380 000 Kč",Prodej bytu,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/886247-nabidka-prodej-bytu-zizkova-trutnov,Centrum,52,Osobní,Částečně,,886247,d94eafcbd4ca75e723abbe6014cb0914ed4feb0ca6fa261fcd504b655645dad1,886247
Energie,,4 700 000 Kč,78 333 Kč/ m2,,2. 5. 2025,"50.08679,15.8210988",N/A,Cihla,,B - Velmi úsporná,,,2 772,,,Samostatný,"Nabízím k prodeji chatu v lese poblíž hradu Kunětická Hora, vybudovanou z cihel a v dobrém stavu, která je plně vybavená pro moderní bydlení. Nemovitost disponuje užitnou plochou 60 m² .Ve spodní části se nachází obytná místnost s otevřenou kuchyní, v zádveří je menší pokoj, WC a sprchový kout, v patře se nachází dvě oddělené místnosti, což zajišťuje útulné a pohodlné prostory.Chata se nachází na rozlehlém lesním pozemku o rozloze 2700 m², ideálním pro relaxaci. Chata je zateplená.Celou nemovitost ovládá klid, nabízí jedinečnou příležitost pro ty, kteří hledají terapii přírodou ve volných dnech mimo shon velkoměsta. Vzhledem k dispozici pozemku a samotné stavbě jde o nemovitost vhodnou k rekreačnímu využití.Pro bližší informace či sjednání prohlídky mě prosím kontaktujte prostřednictvím zpráv na komunikační platformě.","Prodej chaty, chalupy",,,Dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/901641-nabidka-prodej-chaty-chalupy-raby,,60,Osobní,Vybaveno,,901641,fd3fe4132fb7bba3d6d089eafc9d89056676fb94c25340f481c4c9c8c7e4974e,901641
MHD 0 minut pěšky,,8 790 000 Kč,73 250 Kč/ m2,3+1,1. 6. 2025,"49.8317606,14.2752295",N/A,Cihla,,G - Mimořádně nehospodárná,,,770,,,,"Prodám dům kolaudace 2020 se zahradou 770m²Nová Ves pod Pleší, 35km od Prahy, ideální poloha ve staré zástavbě, na tichém místě, dolní zahrada naprosté soukromí. Rodinný dům je atypický, vznikl přestavbou původní stodoly, široké zdi. Přízemí domu prostorný obývací pokoj s kuchyňským koutem, s krbovými kamny, s výstupem na terasu a do zahrady, dále koupelna, předsíň, WC, schody do půdního prostoru s velkou koupelnou a dvěma neprůchozími ložnicemi, obytná plocha asi 120 m². Topení na elektřinu, kotel ve sklepě, teplá voda elektrickým boilerem. Ve vesnici je školka a škola, autobusová zastávka 5minut, vlakové nádraží asi 2km. Ovocné stromy vysazené 2019 plodí ovoce. Případné dotazy jen večer po 18hodině a jen od přímých zájemců, během dne písemně, realitní makléři, prosím, nevolejte.Cena 8 790.000,-Kč",Prodej domu,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/801179-nabidka-prodej-domu-nova-ves-pod-plesi,Klidná část,120,Osobní,Vybaveno,Elektrické,801179,34c280a7513da93a297950861f9d1c209030f584cbe19ca52aa9251e4093bedc,801179
