GPS coordinates,Images,Price,Property Description,Property Name,URL,id,listing_hash
"50.161582980496,16.277658350490",N/A,3 390 000 Kč,,Prodej krásného bytu 3+1 v Rychnově nad Kněžnou,https://www.bidli.cz/chci-koupit/detail/prodej-krasneho-bytu-31-v-rychnove-nad-kneznou/229681,229681,a98d5d83c71757b251d6f2bc32659dbc2f8209bdc610e1c6e45411ad518cc824
"50.030786390032,14.512009149187",N/A,4 860 000 Kč,,"Byt 1+kk, 29 m2, panel, OV, Praha Chodov",https://www.bidli.cz/chci-koupit/detail/byt-1kk-29-m2-panel-ov-praha-chodov/229669,229669,95b41daf1f46d8a2616a869710f1515edee41f204c73181240520b1de6820086
"50.068979010553,15.749180482254",N/A,11 568 800 Kč,,"Novostavba RD, 5+kk, 135 m2, pozemek 655 m2, Pardubice - Doubravice",https://www.bidli.cz/chci-koupit/detail/novostavba-rd-5kk-135-m2-pozemek-655-m2-pardubice-doubravice/229665,229665,4f1d50ad226b0bfa7ee5cd57f0f69700ffed2d804031bc45c47678e008455c3a
"49.827999438933,13.900181610132",N/A,12 190 000 Kč,,"Prodej řadového rodinného domu 5+kk, s pozemkem 499 m2- Hořovice, okres Beroun",https://www.bidli.cz/chci-koupit/detail/prodej-radoveho-rodinneho-domu-5kk-s-pozemkem-499-m2-horovice-okres-beroun/229662,229662,b123b038bbc8e3c9cb3a983834a8c8d38fed73965a7062132d2113725e1dea4e
"49.013285954844,15.453260262190",N/A,2 599 000 Kč,,Prodej rodinného domu 150m2- Staré Hobzí,https://www.bidli.cz/chci-koupit/detail/prodej-rodinneho-domu-150m2-stare-hobzi/229654,229654,62c86b6323e211b91e7fa810e44a9f2143b8ffb815feaec196cf5c2c24484d6a
"50.138315447811,16.806448059843",N/A,Cena na vyžádání,,"Prodej apartmánového domu, Dolní Morava",https://www.bidli.cz/chci-koupit/detail/prodej-apartmanoveho-domu-dolni-morava/229618,229618,aaef8ee577bf0842770dcc7deecbc38a2f759cdb25b29c27fab5e7eee5dffd0b
"50.138315447811,16.806448059843",N/A,Cena na vyžádání,,"Prodej apartmánového domu, Dolní Morava",https://www.bidli.cz/chci-koupit/detail/prodej-apartmanoveho-domu-dolni-morava/229617,229617,868c9886d0e19a61ecf42fdcb9cac69eb602536edf00a2c3034d4c9ecb1af2c4
"49.682475019059,13.405212040778",N/A,3 099 000 Kč,,"Pozemek k bydlení, 766 m2, Černice",https://www.bidli.cz/chci-koupit/detail/pozemek-k-bydleni-766-m2-cernice/229614,229614,0ce2c65439edb6fc470c1a2a671706942527af8569b0491aa5ff92a3ef372f86
"49.370548281461,12.856690301126",N/A,Cena na vyžádání,,"Prodej penzionu Milada, Česká Kubice",https://www.bidli.cz/chci-koupit/detail/prodej-penzionu-milada-ceska-kubice/229613,229613,3267c004ea1555f7676f5dabe28b196b3bc461a0ff3b4a0cc7fc49ce902a1fb6
"50.338989275612,14.542120357613",N/A,6 200 000 Kč,,Stavební pozemek 1928 m2s platným stavebním povolením - připraveno ke stavbě- Malý Újezd-Vavřineč,https://www.bidli.cz/chci-koupit/detail/stavebni-pozemek-1928-m2-s-platnym-stavebnim-povolenim-pripraveno-ke-stavbe-maly-ujezd-vavrinec/229611,229611,a892d033a575525a31d7a937b5025f3be203203d2079193ef907726742b5c3b6
"50.069157018067,15.749389651963",N/A,8 616 640 Kč,,"Prodej novostavby rodinného domu 5+kk, 108 m2,  pozemek 359 m2, Pardubice - Doubravice",https://www.bidli.cz/chci-koupit/detail/prodej-novostavby-rodinneho-domu-5kk-108-m2-pozemek-359-m2-pardubice-doubravice/229607,229607,fe923ca752c9a010c2d8a4675438274f249b3850f10feb365237a9089173a977
"49.534402500563,12.769246265574",N/A,1 200 000 Kč,,"Stavební pozemky 6984m2, Drahotín",https://www.bidli.cz/chci-koupit/detail/stavebni-pozemky-6984m2-drahotin/229604,229604,717c6e42698ddad2a2549432bc8b259a0e5f38b1b085c650d70eec62841cf01a
