Aktualizace,Dispozice,Doprava,Druh objektu,Elektřina,GPS coordinates,ID zakázky,Images,Komunikace,Odpad,Plocha,Plyn,Podlahová plocha,Poloha objektu,Price,Property Description,Property Name,Stav objektu,URL,Užitná plocha,Vlastnictví,Voda,id,listing_hash
30.05.2025,3+1,,,,"50.161582980496,16.277658350490",229681,N/A,,,,,76,,3 390 000 Kč,,Prodej krásného bytu 3+1 v Rychnově nad Kněžnou,velmi dobrý,https://www.bidli.cz/chci-koupit/detail/prodej-krasneho-bytu-31-v-rychnove-nad-kneznou/229681,,osobní,,229681,8b16580382528da72fb8ca89602e39c8cd8b1afc89f0fccf5a9feabf61c5c4fc
30.05.2025,1+kk,,,,"50.030786390032,14.512009149187",229669,N/A,,,,,29,,4 860 000 Kč,,"Byt 1+kk, 29 m2, panel, OV, Praha Chodov",velmi dobrý,https://www.bidli.cz/chci-koupit/detail/byt-1kk-29-m2-panel-ov-praha-chodov/229669,,osobní,,229669,943449b156de1d73bb9035c2deb567ea9146ec3328f86f0d1a20f99d405c98b0
30.05.2025,,,dřevěná,,"50.068979010553,15.749180482254",229665,N/A,,,,,,samostatný,11 568 800 Kč,,"Novostavba RD, 5+kk, 135 m2, pozemek 655 m2, Pardubice - Doubravice",novostavba,https://www.bidli.cz/chci-koupit/detail/novostavba-rd-5kk-135-m2-pozemek-655-m2-pardubice-doubravice/229665,135,,,229665,aa9f69be51c445c9a1f3b4cad7870fdd22a48abc5d14bbba1e7640d4feda7f31
30.05.2025,,,cihlová nebo skeletová,,"49.827999438933,13.900181610132",229662,N/A,,,,,,řadový,12 190 000 Kč,,"Prodej řadového rodinného domu 5+kk, s pozemkem 499 m2- Hořovice, okres Beroun",novostavba,https://www.bidli.cz/chci-koupit/detail/prodej-radoveho-rodinneho-domu-5kk-s-pozemkem-499-m2-horovice-okres-beroun/229662,126,,,229662,973a0590a44649ffc5f30cdd4d502feff79f6f22df04723fdd585819efcfe012
31.05.2025,,,cihlová nebo skeletová,,"49.013285954844,15.453260262190",229654,N/A,,,,,,samostatný,2 599 000 Kč,,Prodej rodinného domu 150m2- Staré Hobzí,před rekonstrukcí,https://www.bidli.cz/chci-koupit/detail/prodej-rodinneho-domu-150m2-stare-hobzi/229654,125,,,229654,64b06ff02335e3813a5c5d04110e43215f165a52cb6134e1e93157a3357851fa
28.05.2025,,,cihlová nebo skeletová,,"50.138315447811,16.806448059843",229618,N/A,,,,,,samostatný,Cena na vyžádání,,"Prodej apartmánového domu, Dolní Morava",velmi dobrý,https://www.bidli.cz/chci-koupit/detail/prodej-apartmanoveho-domu-dolni-morava/229618,560,,,229618,cdb700d5015ac77571f74c1c476182d49867ef7ec5471a93353d2c17097a81e1
28.05.2025,,,,,"50.138315447811,16.806448059843",229617,N/A,,,,,,,Cena na vyžádání,,"Prodej apartmánového domu, Dolní Morava",,https://www.bidli.cz/chci-koupit/detail/prodej-apartmanoveho-domu-dolni-morava/229617,,,,229617,648dce64c0a67de357769bd67a7d0e84f11613ec4840a04f8800f8056f5bb367
28.05.2025,,,,230V,"49.682475019059,13.405212040778",229614,N/A,asfaltová,,766m2,,,,3 099 000 Kč,,"Pozemek k bydlení, 766 m2, Černice",,https://www.bidli.cz/chci-koupit/detail/pozemek-k-bydleni-766-m2-cernice/229614,,,Vlastní studna,229614,5fa5582e8282c28f112fa138b020233bddd6360d24a08e8e75b4072aa1458ede
30.05.2025,,,,,"49.370548281461,12.856690301126",229613,N/A,,,,,,,Cena na vyžádání,,"Prodej penzionu Milada, Česká Kubice",,https://www.bidli.cz/chci-koupit/detail/prodej-penzionu-milada-ceska-kubice/229613,,,,229613,4b0f54b1d3efed5d2abf431161537884d99e5874ad8b01b28ed4ac3653610dfc
28.05.2025,,"silnice, autobus",,400V (motorový proud),"50.338989275612,14.542120357613",229611,N/A,asfaltová,Veřejná kanalizace,1928m2,Není,,,6 200 000 Kč,,Stavební pozemek 1928 m2s platným stavebním povolením - připraveno ke stavbě- Malý Újezd-Vavřineč,,https://www.bidli.cz/chci-koupit/detail/stavebni-pozemek-1928-m2-s-platnym-stavebnim-povolenim-pripraveno-ke-stavbe-maly-ujezd-vavrinec/229611,,,Dálkový vodovod,229611,3059b672ebfc82bda57b8db0995d63b253ce8cbe30ba836ecb7e8f7c4b1111f9
28.05.2025,,,dřevěná,,"50.069157018067,15.749389651963",229607,N/A,,,,,,samostatný,8 616 640 Kč,,"Prodej novostavby rodinného domu 5+kk, 108 m2,  pozemek 359 m2, Pardubice - Doubravice",novostavba,https://www.bidli.cz/chci-koupit/detail/prodej-novostavby-rodinneho-domu-5kk-108-m2-pozemek-359-m2-pardubice-doubravice/229607,108,,,229607,c4b9e534221958afae353bd7776526422d0a30e254b4c22bb50c25ef89dd6c7e
27.05.2025,,"silnice, autobus",,Není,"49.534402500563,12.769246265574",229604,N/A,,Na hranici,6984m2,,,,1 200 000 Kč,,"Stavební pozemky 6984m2, Drahotín",,https://www.bidli.cz/chci-koupit/detail/stavebni-pozemky-6984m2-drahotin/229604,,,V dosahu,229604,cdaa01b5f3e309b21533c721ec0a7af342f74b96e2f7c97b434b30fea95292f0
