ID,URL,Název nemovitosti,Popis nemovitosti,Cena,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,GPS souřadnice,Obrázky,listing_hash,src_web,ins_dt,upd_dt,del_flag,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,Charakter okolní zástavby,Doprava,Elektřina,Garáž,Odpad,Plocha zahrady,Zastavěná plocha,Počet parkovacích míst,Počet podlaží pod zemí,Telekomunikace,Typ domu,Voda,Vybaveno,Energetická náročnost budovy,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,Bezbariérový byt,Plyn,Výtah,K nastěhování,Umístění v chráněných lokalitách,Ostatní rozvody,Rok rekonstrukce
409347,https://www.remax-czech.cz/reality/detail/409347/prodej-pozemku-21819-m2-hukvaldy,"Prodej pozemku 21819 m², Hukvaldy(ID 133-NP02377)","Nabízíme k prodeji atraktivní pozemek o rozloze 21 819 m², nacházející se v části obce Sklenov, v malebné obci Hukvaldy, okres Frýdek-Místek.Tyto pozemky se nachází z části v návrhové zastavitelné ploše SO (smíšené obytné), zčásti v plochách SN (smíšené nezastavěné, vzrostlé zeleně), zčásti MK (místní komunikace) a zbylá část pozemků v plochách Z (zemědělských).Díky platnému územnímu plánu je možné na pozemku vytvořit více stavebních parcel, což umožňuje realizaci výstavby rodinných domů, a tím nabídnout atraktivní možnosti pro budoucí obyvatele.Sjezd na předmětné parcely je dle mapových podkladů částečně vybudovaný.V dosahu se nacházejí sítě, což značně urychlí proces výstavby a sníží náklady na inženýrské sítě.Dále je k dispozici vypracovaný kompletní rozbor pozemku, který zahrnuje všechny důležité parametry a informace potřebné k efektivnímu využití pozemku.Pozemek se nachází v krásném okolí, které je obklopeno přírodou a malebnými místy. V nedaleké oblasti se nachází Hrad Hukvaldy, historická památka, která přitahuje návštěvníky a dodává této lokalitě jedinečný charakter. Je to také rodiště významného skladatele Leoše Janáčka, což přidává na kulturní hodnotě regionu. Navíc v blízkosti se nachází golfové hřiště, které přispívá ke kvalitnímu životnímu stylu a rekreačním aktivitám, a tímto činí tuto lokalitu atraktivní pro investory zaměřené na rezidenční výstavbu.Lokalita se pyšní výbornou dostupností. V okolí se nacházejí školy a školky, což je ideální pro rodiny s dětmi. Tímto způsobem můžete oslovit i široké spektrum potenciálních nájemníků či budoucích majitelů domů, což zajišťuje dlouhodobou návratnost investice.Tato nabízená nemovitost je tedy skvělou příležitostí pro všechny investory, kteří hledají pozemek s vysokým potenciálem a možností zhodnocení svých investic.Srdce obce Hukvaldy, jejíž přírodní krása a historické památky představují lákavou kombinaci pro život i rekreaci, dává této lokalitě jedinečné postavení na trhu.V případě zájmu o prohlídku nás neváhejte kontaktovat.","10 999 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 133-NP02377,Pro bydlení,21 819 m²,Vodovod,Pozemky,Klidná část obce,"49°37'12.7""N,18°13'07.2""E",[],69a03578d5dd5d3d2753993300ea2648cb09d5f98fdb5cbb051d787e989b99d5,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414574,https://www.remax-czech.cz/reality/detail/414574/prodej-chaty-chalupy-160-m2-cheznovice,"Prodej chaty / chalupy 160 m², Cheznovice(ID 096-NP05629)","Prodej rodinného domu s garáží, zahradním domkem a velkou vzrostlou zahradou, Cheznovice, okr. Rokycany, kraj PlzeňskýV exkluzivním zastoupení vlastníka nabízím zděný jednopodlažní rodinný dům s obytným podkrovím o dispozici 5+1 o vnitřní výměře cca 160 m2 (122 m2 – 1.N.P., 39 m2 podkrovní část a sklep).Výhody:-> Dům je v perfektním stavu, bez dalších investic se můžete nastěhovat->  Dvě koupelny, mnoho úložného prostoru, EZS, kamera-> K domu náleží prostorná vzrostlá a udržovaná zahrada. Celková výměra pozemku je 1.205 m2 z toho cca 1.000 m2 čistě zahrada (na zahradě zabudovaný kruhový bazén a na zalévání možné využít kopanou studnu)-> Součástí prodeje je garáž o velikosti 26 m2, zahradní domek o velikosti 19 m2 a pergola s venkovním grilem na letní posezení a jedno parkovací místo za plotem-> Dům je částečně podsklepen, k využití například na uskladnění zeleniny je sklep o velikosti cca 5 m2-> Dům je zateplen, kompletně vyměněna okna, topení zajišťuje tepelné čerpadlo vzduch – voda (k dispozici je však i elektrokotel  a v obývací místnosti jsou  krbová kamna). V části objektu je podlahové vytápění.-> Střecha je svou orientací ideální pro osazení solárními panely-> Dům je napojen na vodovodní řad, kanalizaci, elektrickou energii-> V obci se nachází obchod, škola, školka a základní občanská vybavenost-> Perfektní je i rychlý dojezd do Prahy či Plzně po dálnici D5K dispozici je pro Vás připraven 3D sken celého domu i okolí, díky němuž si celou nemovitost můžete detailně projít ještě před osobní prohlídkou.Obec Cheznovice leží v jihovýchodní části Rokycanska. Okolí tvoří z velké většiny pole, louky, vodní plochy a hluboké lesy v těsném sousedství je pohoří Brdy. Čisté prostředí s pěkným okolím. Lesy jsou atraktivní pro houbaře a milovníky čisté přírody. Severozápadně od obce je velký Štěpánský rybník, který je lákadlem pro rybáře.Obcí je vedena turistická trasa a cyklostezka, cca 4 km v Brdech jsou též krásné cyklostezky.Služby v obci: pošta, obecní úřad, 3 obchody, 2 pohostinství, kadeřnictví, masážní salon, dámské krejčovství, opravy elektronických zařízení, vodoinstalatérství - topenářství, zámečnictví, truhlářství, pneuservis, autolakovna, autodoprava, zemní práce, kovovýroba, zednické práce, organizační a ekonomické poradenství.V obci se nachází základní škola (1.-5. ročník), mateřská škola, knihovna, lidový dům, hřiště za budovou lidového domu a také víceúčelové hřiště pod ZŠ.Budeme se těšit na viděnou na prohlídce.","8 490 000
																		CZK/ za nemovitost",vč. právního servisu a provize RK,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 096-NP05629,,160 m²,,Chaty a rekreační objekty,Klidná část obce,"49°46'45.5""N,13°46'39.2""E",[],62039573e0771cc41868e15357fce6f110d5fac049713589baf60c03cae2e016,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,2,160 m²,1 205 m²,Cihlová,Velmi dobrý,Obytná,"Dálnice, Silnice, Autobus","230 V, 400 V",Ano,Kanalizace,1 013 m²,192 m²,1,1,Internet,Patrový,Dálkový rozvod,Ano,D,132,,,,,,,,,,,
413023,https://www.remax-czech.cz/reality/detail/413023/prodej-domu-80-m2-becice,"Prodej domu 80 m², Bečice(ID 111-NP08306)","Nabízíme ke koupi rodinný dům situovaný na okraji obce Bečice, ležící 6 km od Týna nad Vltavou, 18 od Veselí nad Lužnicí a 35 km od Českých Budějovic.Původní venkovské stavení o zastavěné ploše cca 159 m2 je součástí pozemků o celkové rozloze 1.359 m2.  Objekt prošel v devadesátých letech částečnou rekonstrukcí obytné části, na kterou navazuje dílna se vstupem na půdu a sklad. Následně v r. 2010 proběhla výměna střešní krytiny a plastových oken. Stavba je ze smíšeného zdiva a vzhledem k tomu, že není trvale obývána, jsou patrné známky vlhkosti.Obytná část s užitnou plochou 80 m2 disponuje vstupní verandou, chodbou, ložnicí, koupelnou s WC, průchozí kuchyní s jídelním koutem a obývacím pokojem. Dispoziční řešení s orientačními rozměry najdete na přiloženém orientačním půdorysu.Nebytové prostory tvoří dílna, ze které je přístup na půdu a prostor na uskladnění např. zahradního vybavení.  Součástí je také plechová garáž a dřevník.Nemovitost má vlastní kopanou studnu (cca 4 m) a zároveň je napojena na obecní vodovodní řad, odpad je svedený do jímky, která je napojena na obecní kanalizaci. Vytápění obytné budovy je řešené ústředními rozvody do radiátorů, zdrojem jsou kamna na pevná paliva s výměníkem nebo elektrický kotel. Ohřev vody je řešený bojlerem.Oplocený pozemek, který obklopuje zastavěnou část, tvoří zatravněná plocha, užitková část se záhony a sad se vzrostlými ovocnými stromy. Na zahradě je vybudováno malé okrasné jezírko.Předností této nemovitosti je poloha na úplném okraji zástavby v klidné obci s pouze cca 100 obyvateli.  Obcí prochází cyklostezka, jsou zde také lokální turistické trasy, které vedou do krásného, zalesněného okolí.","3 490 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 111-NP08306,,,,Domy a vily,Klidná část obce,"49°12'54.6""N,14°30'07.8""E",[],7acd2d859726cb675e58861d72d83d8a7753b7bf596cadf3b1eecd70c11b8879,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,1,80 m²,1 359 m²,Smíšená,Dobrý,Obytná,"Silnice, Autobus",,,Kanalizace,,159 m²,4,,,Přízemní,Dálkový rozvod,,G,691,,,,,,,,,,,
414572,https://www.remax-czech.cz/reality/detail/414572/prodej-bytu-2-kk-v-osobnim-vlastnictvi-53-m2-praha-4-modrany,"Prodej bytu 2+kk v osobním vlastnictví 53 m², Praha 4 - Modřany(ID 205-NP11485)","Nabízíme k prodeji prostorný a světlý byt o dispozici 2+kk s podlahovou plochou 52,8 m², který se nachází ve vyhledávané lokalitě Praha 4 – Modřany, v moderním rezidenčním projektu Zahálka.Byt je umístěn ve 4. nadzemním podlaží cihlového domu s výtahem a bezbariérovým přístupem. K bytu náleží parkovací stání v podzemní garáži, sklepní kóje v suterénu a další sklep ve stejném patře, kde se nachází byt.Dispozice bytu: Obývací pokoj s přípravou na kuchyňský kout, ložnice, koupelna s toaletou a předsíň. Z obývacího pokoje i ložnice je vstup na prostornou lodžii s nádherným výhledem do zeleně a na golfové hřiště. Díky velkým francouzským oknům je byt krásně prosvětlený a působí velmi vzdušně.Byt je součástí nově dokončeného rezidenčního projektu a je vybaven ve vysokém standardu s důrazem na kvalitu použitých materiálů.Skvělá dopravní dostupnost a poloha:Zastávka autobusu je vzdálena jen 1 minutu chůze, tramvajová i vlaková stanice zhruba 5 minut pěšky. Do centra města se pohodlně dostanete MHD s krásnými výhledy na Vltavu, Karlův most, Smíchov a Národní divadlo. Přímo u domu se nachází oblíbená cyklostezka podél řeky – ideální pro cyklistiku i procházky.Kompletní občanská vybavenost:V okolí naleznete mateřské i základní školy, zdravotnická zařízení, obchody, restaurace a kavárny. Pro sportovní vyžití je k dispozici golfové hřiště, tenisové kurty, běžecké a cyklistické trasy podél Vltavy.Pro více informací nebo domluvení prohlídky mě neváhejte kontaktovat.","8 900 000
																		CZK/ za nemovitost",včetně provize a právních služeb.,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 205-NP11485,,,,Byty,,"50°01'01.4""N,14°24'00.3""E",[],9b54acaa5a71f04c14ff666cd9a5770d2611db3b0e235d35af8ce019a72ff069,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,16,53 m²,,Cihlová,Novostavba,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Ano,Kanalizace,,,,,,,,,B,,2+kk,4,53 m²,Osobní,Ano,Plynovod,Ano,,,,
414562,https://www.remax-czech.cz/reality/detail/414562/prodej-chaty-chalupy-34-m2-nydek,"Prodej chaty / chalupy 34 m², Nýdek(ID 306-NP83332)","Ve výhradním zastoupení majitele Vám nabízíme chatu v obci Nýdek.Chata s evidenčním číslem se nachází  na polosamotě s hezkým výhledem. Výměra pozemku je 397 m². Je v osobním vlastnictví a přístup je zajištěn po obecní komunikaci.Chata má zastavěnou plochu 48 m² a podlahovou plochu 64 m².Ke vstupu do chaty můžeme využít vchod do PP který je z jedné strany v úrovni terénu.  Z chodby je vstup do kuchyně, koupelny, toalety a do budoucna se počítá se schodištěm do 1NP. V těchto prostorech již začala rekonstrukce avšak není dokončena. Cihelné zdivo, betonový strop, podlahová plocha 29 m².V 1NP se nacházejí 3 obytné pokoje a veranda, která umožňuje druhý vstup do  1NP. Zde je vše v původním stavu a jedná se o dřevostavbu. Podlahová plocha 35 m².Střešní konstrukce vazníková, krytina asfaltové pásy.Vytápění bude zajištěno krbovou vložkou. Elektřina 230 V, voda ze studny.Výměra pozemku 397 m².Chata je celkově v původním stavu, částečně v rekonstrukci.S financováním Vám rádi pomohou naší finanční specialisté.Prodávající si vyhrazuje právo v případě více zájemců prodat nejvýhodnější nabídce.Pro bližší informace nebo termín sjednání schůzky mne prosím kontaktujte.","1 190 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 306-NP83332,,34 m²,,Chaty a rekreační objekty,Klidná část obce,,[],3fa38fe4a93a991aea424d2d847d97cd029e787355cb3a19633f0b8191f9c52e,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,2,34 m²,397 m²,Dřevěná,Před rekonstrukcí,Rekreační,,230 V,,,349 m²,48 m²,,1,,Přízemní,,,G,,,,,,,,,,,,
414468,https://www.remax-czech.cz/reality/detail/414468/prodej-bytu-2-1-v-osobnim-vlastnictvi-48-m2-jesenik,"Prodej bytu 2+1 v osobním vlastnictví 48 m², Jeseník(ID 130-NP03443)","Nabízíme slunný byt v původním stavu  2+1 v cihlovém domě na Mahenově ulici v Jeseníku , 48 m2 ve 3.NP s lodžií vhodný k celkové rekonstrukci.Byt má dispozici -  kuchyň s plynovým sporákem, kuch. linkou a spížní skříňí. Ze vstupní chodby jsou dveře do společenského pokoje   orientovaný na východ s dveřmi na balkon a z tohoto pokoje jsou dveře do  ložnice. Do ložnice je vstup i z kuchyně. Koupelna i WC  jsou v půdním stavu. Vstupní chodba je prostorná s domovním telefonem. K bytu náleží zděný sklep 5m2.Byt je celý v původním obyvatelném stavu, volný k nastěhování a úpravám, kupující si jej jistě upraví podle svých potřeb.Dům je kompletně zateplen, má plastová okna, teplo a TUV je  dodávaná z vlastní vchodové plynové kotelny, s měřiči spotřeby tepla  na radiátorech. Průkaz PENB bude teprve předložen a pak upravíme skutečný stupeň  PENB.Nedaleko , školka, ZŠ, zastávka MHD  a blízko supermarket , poliklinika...","2 500 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 130-NP03443,,,,Byty,Sídliště,"50°13'24.8""N,17°11'52.6""E",[],79bd8102874c3c26495d91cde50ca1e4dfff865a704c31127bde4be8ba296b8a,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,3,48 m²,,Cihlová,Před rekonstrukcí,Obytná,"Vlak, Dálnice, Silnice, MHD, Autobus",230 V,,Kanalizace,,396 m²,,1,Internet,,Dálkový rozvod,Ano,G,,2+1,3,48 m²,Osobní,,Plynovod,,19. 5. 2025,,,
414547,https://www.remax-czech.cz/reality/detail/414547/prodej-chaty-chalupy-18-m2-bilina,"Prodej chaty / chalupy 18 m², Bílina(ID 205-NP11484)","Ke koupi do osobního vlastnictví nabízím útulnou chatu o velikosti 18 m² v zahrádkářské kolonii Bílina Újezd, která je skvělým místem pro relaxaci a odpočinek.Chata, která je dispozičně řešena jednou velkou místností, je částečně podsklepena a nachází se v blízkosti parkoviště a restaurace Zahrádky.Stav nemovitosti je dobrý, na straně od vchodu byla započata realizace zateplení, kterou lze dokončit a případně rozšířit podle vlastních představ. Nový majitel má také možnost vybudovat v podkroví spaní, což by výrazně rozšířilo obytný prostor chaty.Zahrada u chaty nabízí zajímavou kombinaci estetiky a funkčnosti. Krásný výhled dodává místu příjemnou atmosféru, zatímco členité záhony přinášejí možnost kreativního zahradničení. Vzrostlé stromy nejen poskytují příjemný stín, ale také vytvářejí přirozené zóny pro odpočinek i pěstování.V současné době je zahrada ve vlastnictví České republika a je řešena formou nájemní smlouvy s Pozemkovým fondem ČR, s ročním poplatkem nájemného.V ceně nemovitosti je zahrnuto i zahradní vybavení, jako je nadzemní kruhový bazén, sekačka na trávu a zahradní náčiní, což umožňuje zahradu ihned plně využívat.Pokud vás nabídka zaujala, neváhejte mě kontaktovat. Ráda poskytnu další informace a domluvím prohlídku.","700 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 205-NP11484,,18 m²,,Chaty a rekreační objekty,Okraj obce,"50°32'14.1""N,13°46'27.8""E",[],996aa59bf4f88218d6f8380889a584e63fe3ab29eb4fc733443a0a6719843078,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,2,18 m²,379 m²,Smíšená,Před rekonstrukcí,Rekreační,,230 V,,,379 m²,18 m²,,1,,Přízemní,"Zdroj pro celý objekt, Dálkový rozvod",,G,,,,,,,,,17. 5. 2025,,,
414565,https://www.remax-czech.cz/reality/detail/414565/prodej-bytu-2-1-v-osobnim-vlastnictvi-69-m2-most,"Prodej bytu 2+1 v osobním vlastnictví 69 m², Most(ID 218-NP06448)","Investiční příležitost: prodej bytu 2+1 (66 m²) s věcným břemenem dožití pro současného majitele (52 let)Nabízíme ke koupi byt o dispozici 2+1 a výměře 66 m² se zasklenou lodžií a sklepem. Byt se nachází v 1. nadzemním podlaží panelového domu a byt prošel částečnou rekonstrukcí.V bytě najdete rohovou kuchyň, nové dveře s obložkami, plovoucí podlahy, praktické vestavěné skříně v chodbě, koupelnu se sprchovým koutem a samostatné WC.Byt je na prodej se zřízením věcného břemeno dožití pro současného majitele (52 let. Majitel je otevřen možnosti postupného splácení kupní ceny. Bude si i nadále hradit veškeré náklady spojené s užíváním bytu, jako jsou energie a případné opravy.","990 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 218-NP06448,,,,Byty,,"50°29'42.7""N,13°39'10.1""E",[],401645435323675bea226ba80e623e05b4542e579f6e16d0f3ca9c81516d1b7b,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,13,66 m²,,Panelová,Velmi dobrý,,,,,Kanalizace,,524 m²,,,,,,,G,,2+1,1,69 m²,Osobní,,Plynovod,Ano,,,,
414490,https://www.remax-czech.cz/reality/detail/414490/prodej-domu-115-m2-dolni-chvatliny,"Prodej domu 115 m², Dolní Chvatliny(ID 059-NP07517)","Nabízíme vám ke koupi rodinný dům s obytným podkrovím, částečně podsklepený, situovaný v klidné části obce Dolní Chvátliny.Dům stojí na pozemku o rozloze 1033 m², jehož součástí je také prostorná stodola s garáží a dalšími úložnými prostory.Za zahradou se nachází romantický rybníček a jen pár kroků za plotem je fotbalové hřiště – ideální pro rodiny s dětmi.Základní informace:•	Dispoziční řešení 5+1•	Prostorná stodola, garáž a další skladovací prostory - ideální pro kutila nebo drobné podnikání•	Pozemek se zahradou a výhledem na rybníček•	Stav nemovitosti: určeno ke kompletní rekonstrukci•	Konstrukce: základy kamenné, cihla a přístavba z tvárnic•	Střecha sedlová, krytina betonové tašky•	Okna dřevěná•	Elektřina•	Voda ze studny•	Tlaková kanalizaceDispozice:•	Přízemí: kuchyně, obývací pokoj, ložnice, hala, veranda, komora, koupelna, WC, vstup do sklepa, dřevěné schodiště do podkroví•	Podkroví: 3 pokoje a chodba, vstup na lodžii a terasu s výhledem na zahradu a rybníčekZaujala Vás tato nabídka?Pro více informací či sjednání prohlídky kontaktujte makléřku nabídky: Martu Sýkorovou 720704593","4 400 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 059-NP07517,,,,Domy a vily,,"49°58'50.8""N,15°04'14.1""E",[],5c488a2e3f6fc5938ccbf0b4dac2a6375b6f72a51f8d240e1cbc812abcf7a076,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,2,115 m²,1 033 m²,Smíšená,Velmi dobrý,,,"230 V, 400 V",,Kanalizace,,103 m²,,,,Přízemní,,,G,,,,,,,,,20. 5. 2025,,,
414500,https://www.remax-czech.cz/reality/detail/414500/prodej-domu-122-m2-jevany,"Prodej domu 122 m², Jevany(ID 205-NP11480)","Nabízíme k prodeji rodinný dům v klidné a žádané lokalitě obce Jevany, jen 5 minut chůze od Jevanského rybníka a v těsné blízkosti přírodní rezervace Voděradské bučiny. Nemovitost se nachází v rezidenční části obce, v krásném prostředí u lesa, a nabízí ideální kombinaci klidu, soukromí a výborné dostupnosti do Prahy.Dům byl postaven v roce 1982 a je situován na prostorném pozemku o výměře 1 968 m², který tvoří dvě samostatné parcely – jedna z nich může být využita k výstavbě dalšího rodinného domu. K dispozici je garáž, dvě terasy, dvě koupelny a praktické vnitřní uspořádání vhodné i pro dvougenerační bydlení.Dispozice:1. patro: Obývací pokoj (24 m²) se vstupem na jižně orientovanou terasu s výhledem do přírody, samostatná kuchyň, dvě ložnice (dětský pokoj/pracovna), koupelna, samostatná toaleta a spíž.Přízemí: Obytná hala s francouzskými okny a přímým vstupem na spodní terasu a do zahrady, další pokoj vhodný pro hosty nebo dvougenerační bydlení, koupelna, toaleta a komora.Vytápění je řešeno elektrickými radiátory. Dům je napojen na vlastní studnu a septik. Na pozemku je ještě další studna na zalévání zahrady. Díky rozlehlé zahradě a strategické poloze je nemovitost ideální pro rodinné bydlení, rekreační účely nebo jako investice.Výhody lokality:Autobusová zastávka přímo u domu, rychlé spojení na metro Háje.Obklopeno hlubokými lesy a přírodou – ideální pro turistiku, cyklovýlety, koupání nebo zimní bruslení.Základní občanská vybavenost v místě (obchod, pošta, kavárna, restaurace), širší zázemí v Říčanech a Kostelci nad Černými lesy.Pokud hledáte bydlení v přírodě s výbornou dostupností do hlavního města, tento dům v Jevanech představuje jedinečnou příležitost.Pro více informací nebo domluvení prohlídky mě neváhejte kontaktovat.","13 900 000
																		CZK/ za nemovitost","cena včetně provize, právního servisu a všech poplatků",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 205-NP11480,,,,Domy a vily,Klidná část obce,"49°58'17.4""N,14°49'00.3""E",[],f91fce406d8c9fd928f405ea2c3dd7551411ae8061e294fbcb97761e110666db,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,2,122 m²,1 968 m²,Panelová,Dobrý,Obytná,"Silnice, Autobus",230 V,Ano,Septik,,119 m²,,,,Přízemní,,,G,,,,,,,,,,,,
