ID,Název nemovitosti,Cena,GPS souřadnice,src_web,ins_dt,upd_dt,del_flag,URL,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,K nastěhování,Odpad,Voda,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,Plocha zahrady,Plyn,Typ domu,Energetická náročnost budovy,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,Bezbariérový byt,Zastavěná plocha,Počet parkovacích míst,Počet podlaží pod zemí,Výtah,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Telekomunikace,Doprava,Elektřina,Ostatní rozvody,Vybaveno,Občanská vybavenost,Plocha kanceláří,Vybavení kanceláří,Charakter okolní zástavby,Garáž,Rok výstavby,Druh prostor,Rok rekonstrukce
409347,"Prodej pozemku 21819 m², Hukvaldy(ID 133-NP02377)","10 999 000
																		CZK/ za nemovitost","49°37'12.7""N,18°13'07.2""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/409347/prodej-pozemku-21819-m2-hukvaldy,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 133-NP02377,Pro bydlení,21 819 m²,Vodovod,Pozemky,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414329,"Prodej pozemku 679 m², Ludgeřovice(ID 306-NP83330)","2 200 000
																		CZK/ za nemovitost","49°53'36""N,18°14'20.3""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414329/prodej-pozemku-679-m2-ludgerovice,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 306-NP83330,Pro bydlení,679 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Rušná část obce,15. 5. 2025,Kanalizace,Dálkový rozvod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414385,"Prodej domu 151 m², Sedlčany(ID 218-NP06441)","11 980 000
																		CZK/ za nemovitost","49°39'12.6""N,14°25'10.5""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414385/prodej-domu-151-m2-sedlcany,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 218-NP06441,,,,Domy a vily,,,Kanalizace,,Řadový,2.0,151 m²,151 m²,Cihlová,Velmi dobrý,800 m²,Plynovod,Patrový,G,,,,,,,,,,,,,,,,,,,,,,,
414398,"Prodej bytu 4+kk v osobním vlastnictví 113 m², Zlín(ID 223-NP02806)","10 821 664
																		CZK/ za nemovitost","49°12'08.3""N,17°34'54.3""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414398/prodej-bytu-4-kk-v-osobnim-vlastnictvi-113-m2-zlin,včetně DPH,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 223-NP02806,,,,Byty,Klidná část obce,,,,,6.0,101 m²,,Skeletová,Ve výstavbě (hrubá stavba),,,,B,4+kk,5.0,113 m²,Osobní,Ano,760 m²,1.0,1.0,Ano,77.0,,,,,,,,,,,,,
414382,"Prodej domu 134 m², Jihlava(ID 143-NP07026)","13 900 000
																		CZK/ za nemovitost","49°24'27.5""N,15°33'23.2""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414382/prodej-domu-134-m2-jihlava,cena včetně provize RK,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 143-NP07026,,,,Domy a vily,Klidná část obce,,Kanalizace,Dálkový rozvod,Řadový,1.0,134 m²,600 m²,Cihlová,Novostavba,,Plynovod,Přízemní,,,,,,Ano,185 m²,,,,,Internet,,,,,,,,,,,,
414445,"Prodej bytu 3+1 v osobním vlastnictví 74 m², Kladno(ID 023-NP08458)","5 740 000
																		CZK/ za nemovitost","50°08'08.2""N,14°05'54.2""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414445/prodej-bytu-3-1-v-osobnim-vlastnictvi-74-m2-kladno,"kupní cena vč. právního servisu, advokátní úschovy kupní ceny a odměny RK",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 023-NP08458,,,,Byty,,,Kanalizace,Dálkový rozvod,,11.0,67 m²,,Panelová,Velmi dobrý,,Plynovod,,C,3+1,10.0,74 m²,Osobní,,755 m²,,1.0,Ano,,,"Vlak, Dálnice, Silnice, MHD, Autobus",230 V,"Kabelové rozvody, Ostatní rozvody",Ano,,,,,,,,
414427,"Prodej pozemku 15134 m², Přelouč(ID 020-NP10182)","53 131 000
																		CZK/ za nemovitost","50°02'11.4""N,15°34'33.2""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414427/prodej-pozemku-15134-m2-prelouc,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 020-NP10182,Pro komerční výstavbu,15 134 m²,"Vodovod, Elektřina",Pozemky,Centrum obce,,,Dálkový rozvod,,,,,,,,,,,,,,,,,,,,,,"Vlak, Silnice, Autobus","230 V, 400 V",Ostatní rozvody,,Kompletní síť obchodů a služeb,,,,,,,
414429,"Prodej apartmánu 71 m², Loučná nad Desnou(ID 349-NP00055)","4 300 000
																		CZK/ za nemovitost","50°03'51""N,17°05'13.3""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414429/prodej-apartmanu-71-m2-loucna-nad-desnou,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 349-NP00055,,71 m²,,Komerční prostory,Okraj obce,,Septik,Dálkový rozvod,,2.0,,,Smíšená,Po rekonstrukci,,,Patrový,G,,1.0,,,,393 m²,,1.0,,,Internet,"Vlak, Autobus",,,Ano,,71 m²,Ano,,,,,
414448,"Prodej domu 163 m², Orlová(ID 306-NP83329)","5 200 000
																		CZK/ za nemovitost","49°51'13.1""N,18°24'13.4""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414448/prodej-domu-163-m2-orlova,hypotému Vám vyřídíme za nejlepších podmínek!,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 306-NP83329,,,,Domy a vily,Klidná část obce,,Septik,Dálkový rozvod,Samostatný,2.0,163 m²,1 935 m²,Cihlová,Velmi dobrý,1 500 m²,,Patrový,G,,,,,,116 m²,3.0,,,,Internet,,230 V,,,,,,Obytná,Ano,,,
414401,"Prodej pozemku 882 m², Praha 5 - Košíře(ID 273-NP03924)","24 990 000
																		CZK/ za nemovitost","50°04'02.8""N,14°22'24.1""E",remax,2025-05-15 17:26:29,2025-05-15 17:26:29,False,https://www.remax-czech.cz/reality/detail/414401/prodej-pozemku-882-m2-praha-5-kosire,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 273-NP03924,Pro bydlení,882 m²,"Vodovod, Kanalizace, Plyn, Elektřina",Pozemky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
